| Delay | Readings | Time_diff          |
|-------|----------|--------------------|
|     1 |      1.0 |               15.0 |
|     1 |      2.0 |               26.0 |
|     1 |      3.0 | 30.333333333333332 |
|     1 |      4.0 |               55.0 |
|     1 |      5.0 | 59.333333333333336 |
|     1 |      6.0 |  70.66666666666667 |
|     1 |      7.0 |  81.66666666666667 |
|     1 |      8.0 |               93.0 |
|     1 |      9.0 | 103.66666666666667 |
|     1 |     10.0 | 115.33333333333333 |
|     1 |     11.0 | 126.33333333333333 |
|     1 |     12.0 | 137.33333333333334 |
|     1 |     13.0 | 148.66666666666666 |
|     1 |     14.0 | 159.66666666666666 |
|     1 |     15.0 |              167.0 |
|     2 |      1.0 | 15.666666666666666 |
|     2 |      2.0 |               26.0 |
|     2 |      3.0 |               37.0 |
|     2 |      4.0 | 48.333333333333336 |
|     2 |      5.0 | 59.333333333333336 |
|     2 |      6.0 |  70.66666666666667 |
|     2 |      7.0 |  81.66666666666667 |
|     2 |      8.0 |  92.66666666666667 |
|     2 |      9.0 | 104.33333333333333 |
|     2 |     10.0 |              115.0 |
|     2 |     11.0 | 126.33333333333333 |
|     2 |     12.0 | 137.33333333333334 |
|     2 |     13.0 | 148.33333333333334 |
|     2 |     14.0 |              160.0 |
|     2 |     15.0 | 170.66666666666666 |
|     2 |     16.0 | 122.66666666666667 |
|     4 |      1.0 | 15.666666666666666 |
|     4 |      2.0 |               26.0 |
|     4 |      3.0 |               37.0 |
|     4 |      4.0 | 48.333333333333336 |
|     4 |      5.0 |               59.0 |
|     4 |      6.0 |               71.0 |
|     4 |      7.0 |  81.33333333333333 |
|     4 |      8.0 |  93.33333333333333 |
|     4 |      9.0 | 103.66666666666667 |
|     4 |     10.0 | 115.33333333333333 |
|     4 |     11.0 | 126.33333333333333 |
|     4 |     12.0 | 137.33333333333334 |
|     4 |     13.0 | 148.33333333333334 |
|     4 |     14.0 |              160.0 |
|     4 |     15.0 | 170.66666666666666 |
|     4 |     16.0 |              122.0 |
|     8 |      1.0 | 15.333333333333334 |
|     8 |      2.0 |               26.0 |
|     8 |      3.0 | 37.333333333333336 |
|     8 |      4.0 |               48.0 |
|     8 |      5.0 | 59.666666666666664 |
|     8 |      6.0 |  70.33333333333333 |
|     8 |      7.0 |  81.66666666666667 |
|     8 |      8.0 |               93.0 |
|     8 |      9.0 |              104.0 |
|     8 |     10.0 |              115.0 |
|     8 |     11.0 | 126.33333333333333 |
|     8 |     12.0 | 137.33333333333334 |
|     8 |     13.0 | 148.66666666666666 |
|     8 |     14.0 | 159.66666666666666 |
|     8 |     15.0 |              171.0 |
|     8 |     16.0 | 121.66666666666667 |
|    16 |      1.0 | 26.333333333333332 |
|    16 |      2.0 |               18.0 |
|    16 |      3.0 | 45.333333333333336 |
|    16 |      4.0 | 48.333333333333336 |
|    16 |      5.0 | 59.333333333333336 |
|    16 |      6.0 |  70.33333333333333 |
|    16 |      7.0 |  81.66666666666667 |
|    16 |      8.0 |               93.0 |
|    16 |      9.0 |              104.0 |
|    16 |     10.0 |              115.0 |
|    16 |     11.0 | 126.33333333333333 |
|    16 |     12.0 | 131.33333333333334 |
|    16 |     13.0 | 154.66666666666666 |
|    16 |     14.0 | 159.66666666666666 |
|    16 |     15.0 | 170.66666666666666 |
|    16 |     16.0 |              126.0 |
|    32 |      1.0 | 32.666666666666664 |
|    32 |      2.0 |               37.0 |
|    32 |      3.0 | 48.333333333333336 |
|    32 |      4.0 | 59.666666666666664 |
|    32 |      5.0 |  70.33333333333333 |
|    32 |      6.0 |  81.66666666666667 |
|    32 |      7.0 |  92.66666666666667 |
|    32 |      8.0 | 104.33333333333333 |
|    32 |      9.0 |              115.0 |
|    32 |     10.0 | 126.33333333333333 |
|    32 |     11.0 | 137.33333333333334 |
|    32 |     12.0 | 148.66666666666666 |
|    32 |     13.0 | 159.66666666666666 |
|    32 |     14.0 | 170.66666666666666 |
|    32 |     15.0 |              178.0 |
|    32 |     16.0 |              130.0 |
|    64 |      1.0 |  64.66666666666667 |
|    64 |      2.0 |  70.66666666666667 |
|    64 |      3.0 |  81.66666666666667 |
|    64 |      4.0 |               93.0 |
|    64 |      5.0 |  99.66666666666667 |
|    64 |      6.0 | 119.33333333333333 |
|    64 |      7.0 | 126.33333333333333 |
|    64 |      8.0 | 137.33333333333334 |
|    64 |      9.0 | 148.66666666666666 |
|    64 |     10.0 | 159.66666666666666 |
|    64 |     11.0 | 170.66666666666666 |
|    64 |     12.0 |              182.0 |
|    64 |     13.0 |              193.0 |
|    64 |     14.0 | 204.33333333333334 |
|    64 |     15.0 | 215.66666666666666 |
|    64 |     16.0 | 160.33333333333334 |
|   128 |      1.0 | 130.66666666666666 |
|   128 |      2.0 |              132.0 |
|   128 |      3.0 | 153.66666666666666 |
|   128 |      4.0 | 159.66666666666666 |
|   128 |      5.0 |              171.0 |
|   128 |      6.0 | 181.66666666666666 |
|   128 |      7.0 | 193.33333333333334 |
|   128 |      8.0 | 204.33333333333334 |
|   128 |      9.0 | 215.33333333333334 |
|   128 |     10.0 | 226.66666666666666 |
|   128 |     11.0 | 237.33333333333334 |
|   128 |     12.0 |              249.0 |
