is_ready_flag,Not_Ready_count,Delay_between_requests,Times_of_readings_per_measure,Measure_value,total_time_measure(ms),average_time_measure(ms),
NR:0,   Dly:1,  i:1,    R:-1,   T:0.0410,       TA:0.0410
NR:6,   Dly:1,  i:1,    R:1,    T:0.0360,       TA:0.0360
NR:10,  Dly:1,  i:1,    R:14,   T:0.0360,       TA:0.0360
NR:10,  Dly:1,  i:2,    R:11,   T:10.5870,      TA:5.2935
NR:10,  Dly:1,  i:2,    R:19,   T:10.8790,      TA:5.4395
NR:11,  Dly:1,  i:2,    R:-1,   T:10.1730,      TA:5.0865
NR:11,  Dly:1,  i:3,    R:18,   T:21.6090,      TA:7.2030
NR:10,  Dly:1,  i:3,    R:-22,  T:22.0470,      TA:7.3490
NR:11,  Dly:1,  i:3,    R:-23,  T:21.4820,      TA:7.1607
NR:10,  Dly:1,  i:4,    R:9,    T:33.0690,      TA:8.2673
NR:11,  Dly:1,  i:4,    R:-2,   T:32.6530,      TA:8.1632
NR:10,  Dly:1,  i:4,    R:10,   T:33.2400,      TA:8.3100
NR:11,  Dly:1,  i:5,    R:19,   T:43.9690,      TA:8.7938
NR:11,  Dly:1,  i:5,    R:17,   T:43.6970,      TA:8.7394
NR:10,  Dly:1,  i:5,    R:-21,  T:44.4330,      TA:8.8866
NR:10,  Dly:1,  i:6,    R:13,   T:55.3060,      TA:9.2177
NR:11,  Dly:1,  i:6,    R:2,    T:55.1850,      TA:9.1975
NR:11,  Dly:1,  i:6,    R:5,    T:55.0580,      TA:9.1763
NR:11,  Dly:1,  i:7,    R:-5,   T:66.0800,      TA:9.4400
NR:11,  Dly:1,  i:7,    R:-2,   T:66.1020,      TA:9.4431
NR:11,  Dly:1,  i:7,    R:6,    T:66.1240,      TA:9.4463
NR:11,  Dly:1,  i:8,    R:0,    T:77.2890,      TA:9.6611
NR:11,  Dly:1,  i:8,    R:13,   T:77.4550,      TA:9.6819
NR:10,  Dly:1,  i:8,    R:18,   T:77.6250,      TA:9.7031
NR:10,  Dly:1,  i:9,    R:13,   T:88.9320,      TA:9.8813
NR:11,  Dly:1,  i:9,    R:-3,   T:88.2450,      TA:9.8050
NR:11,  Dly:1,  i:9,    R:3,    T:88.5540,      TA:9.8393
