Time, Delay, Readings, Measure
14:47:38:101, 
14:47:38:101, 1,      1,      -33.72
14:47:38:101, 1,      1,      -60.49
14:47:38:105, 1,      1,      -2.26
14:47:38:116, 1,      2,      2.35
14:47:38:138, 1,      2,      2.43
14:47:38:160, 1,      2,      -12.78
14:47:38:183, 1,      3,      5.56
14:47:38:216, 1,      3,      21.62
14:47:38:250, 1,      3,      -17.49
14:47:38:283, 1,      4,      -6.74
14:47:38:328, 1,      4,      0.30
14:47:38:372, 1,      4,      -12.04
14:47:38:417, 1,      5,      30.88
14:47:38:473, 1,      5,      -4.17
14:47:38:529, 1,      5,      -10.56
14:47:38:584, 1,      6,      -2.52
14:47:38:651, 1,      6,      -10.36
14:47:38:719, 1,      6,      -29.92
14:47:38:785, 1,      7,      -8.71
14:47:38:863, 1,      7,      -4.76
14:47:38:941, 1,      7,      9.15
14:47:39:023, 1,      8,      1.50
14:47:39:108, 1,      8,      -0.30
14:47:39:197, 1,      8,      -14.12
14:47:39:287, 1,      9,      -7.47
14:47:39:400, 1,      9,      10.67
14:47:39:487, 1,      9,      18.12
14:47:39:587, 1,      10,     -14.60
14:47:39:699, 1,      10,     -8.26
14:47:39:810, 1,      10,     6.24
14:47:39:921, 1,      11,     -19.32
14:47:40:044, 1,      11,     -11.19
14:47:40:167, 1,      11,     1.63
14:47:40:289, 1,      12,     -1.52
14:47:40:423, 1,      12,     -9.36
14:47:40:557, 1,      12,     5.19
14:47:40:691, 1,      13,     -4.15
14:47:40:835, 1,      13,     -7.15
14:47:40:980, 1,      13,     -5.54
14:47:41:125, 1,      14,     -3.43
14:47:41:282, 1,      14,     7.28
14:47:41:437, 1,      14,     11.80
14:47:41:593, 1,      15,     -4.08
14:47:41:761, 1,      15,     4.98
14:47:41:927, 1,      15,     -3.28
14:47:42:095, 
14:47:42:095, 2,      1,      -18.60
14:47:42:106, 2,      1,      -8.34
14:47:42:118, 2,      1,      12.69
14:47:42:128, 2,      2,      11.56
14:47:42:152, 2,      2,      -30.33
14:47:42:173, 2,      2,      36.59
14:47:42:195, 2,      3,      28.96
