AlignedTime(s),Timestamp1(ms),Crutch1_Force,Crutch1_Qw,Crutch1_Qx,Crutch1_Qy,Crutch1_Qz,Timestamp2(ms),Crutch2_Force,Crutch2_Qw,Crutch2_Qx,Crutch2_Qy,Crutch2_Qz
0.0,30155,-183.14,0.999,0.001,0.002,0.002,33529,1.66,0.999,0.011,-0.007,-0.009
0.05,30205,-250.05,0.999,0.003,0.005,0.005,33579,-15.01,0.999,0.021,-0.013,-0.018
0.1,30255,-78.29,0.999,0.003,0.008,0.007,33629,-10.67,0.998,0.03,-0.019,-0.026
0.15,30305,-217.29,0.999,0.002,0.012,0.009,33679,-8.11,0.997,0.044,-0.028,-0.038
0.2,30355,-175.31,0.999,0.001,0.016,0.01,33729,-23.59,0.996,0.055,-0.035,-0.048
0.254,30413,-228.79,0.999,0.0,0.019,0.011,33779,13.18,0.995,0.065,-0.041,-0.057
0.304,30463,-244.88,0.999,-0.001,0.023,0.012,33829,13.18,0.992,0.08,-0.051,-0.07
0.354,30513,-187.28,0.999,-0.001,0.027,0.013,33879,-7.5,0.991,0.089,-0.057,-0.079
0.404,30563,-242.55,0.999,0.0,0.03,0.013,33929,0.33,0.989,0.098,-0.064,-0.087
0.454,30613,-250.43,0.999,0.0,0.033,0.013,33979,0.33,0.986,0.112,-0.072,-0.099
0.504,30663,-78.73,0.999,-0.001,0.036,0.012,34029,-31.76,0.983,0.123,-0.08,-0.109
0.5545,30714,-155.66,0.999,-0.003,0.038,0.012,34079,4.23,0.98,0.132,-0.086,-0.118
0.609,30773,-181.09,0.999,-0.004,0.041,0.011,34129,-16.24,0.977,0.141,-0.092,-0.126
0.6595,30823,-223.13,0.998,-0.003,0.044,0.012,34180,-20.29,0.972,0.156,-0.102,-0.14
0.7095,30873,-223.13,0.998,-0.001,0.048,0.012,34230,-19.08,0.968,0.165,-0.108,-0.148
0.7595000000000001,30923,-254.34,0.998,0.001,0.052,0.013,34280,-19.02,0.965,0.174,-0.114,-0.157
0.81,30973,-144.56,0.998,0.002,0.056,0.014,34331,0.16,0.96,0.185,-0.121,-0.167
0.86,31023,-181.68,0.997,0.001,0.061,0.016,34381,-36.14,0.954,0.197,-0.13,-0.179
0.9105000000000001,31074,-183.78,0.997,0.0,0.067,0.016,34431,-41.55,0.95,0.206,-0.136,-0.188
0.9644999999999999,31132,-207.66,0.997,0.0,0.071,0.017,34481,-31.26,0.946,0.215,-0.142,-0.196
1.015,31182,-99.49,0.996,-0.001,0.076,0.018,34532,-9.94,0.938,0.228,-0.151,-0.209
1.065,31232,-211.51,0.996,-0.002,0.08,0.019,34582,-10.24,0.933,0.237,-0.157,-0.218
1.1155,31282,-211.95,0.996,-0.006,0.085,0.019,34633,-449.28,0.928,0.246,-0.163,-0.226
1.166,31332,-208.74,0.995,-0.009,0.09,0.02,34684,-0.89,0.919,0.259,-0.172,-0.239
1.2160000000000002,31382,-165.82,0.995,-0.012,0.094,0.021,34734,-4.6,0.913,0.267,-0.178,-0.248
