Timestamp(ms),AlignedTime(s),Force,Qw,Qx,Qy,Qz,Command
33529,0.0,1.66,0.999,0.011,-0.007,-0.009,S
33579,0.05,-15.01,0.999,0.021,-0.013,-0.018,S
33629,0.1,-10.67,0.998,0.03,-0.019,-0.026,S
33679,0.15,-8.11,0.997,0.044,-0.028,-0.038,S
33729,0.2,-23.59,0.996,0.055,-0.035,-0.048,S
33779,0.25,13.18,0.995,0.065,-0.041,-0.057,S
33829,0.3,13.18,0.992,0.08,-0.051,-0.07,S
33879,0.35,-7.5,0.991,0.089,-0.057,-0.079,S
33929,0.4,0.33,0.989,0.098,-0.064,-0.087,S
33979,0.45,0.33,0.986,0.112,-0.072,-0.099,S
34029,0.5,-31.76,0.983,0.123,-0.08,-0.109,S
34079,0.55,4.23,0.98,0.132,-0.086,-0.118,S
34129,0.6,-16.24,0.977,0.141,-0.092,-0.126,S
34180,0.651,-20.29,0.972,0.156,-0.102,-0.14,S
34230,0.701,-19.08,0.968,0.165,-0.108,-0.148,S
34280,0.751,-19.02,0.965,0.174,-0.114,-0.157,S
34331,0.802,0.16,0.96,0.185,-0.121,-0.167,S
34381,0.852,-36.14,0.954,0.197,-0.13,-0.179,S
34431,0.902,-41.55,0.95,0.206,-0.136,-0.188,S
34481,0.952,-31.26,0.946,0.215,-0.142,-0.196,S
34532,1.003,-9.94,0.938,0.228,-0.151,-0.209,S
34582,1.053,-10.24,0.933,0.237,-0.157,-0.218,S
34633,1.104,-449.28,0.928,0.246,-0.163,-0.226,S
34684,1.155,-0.89,0.919,0.259,-0.172,-0.239,S
34734,1.205,-4.6,0.913,0.267,-0.178,-0.248,S
34785,1.256,10.51,0.907,0.276,-0.184,-0.256,S
34835,1.306,10.51,0.896,0.29,-0.194,-0.271,S
34885,1.356,15.79,0.89,0.298,-0.2,-0.279,S
34935,1.406,-0.89,0.883,0.306,-0.205,-0.287,S
34985,1.456,-0.89,0.872,0.319,-0.214,-0.3,S
35035,1.506,2.27,0.865,0.327,-0.22,-0.308,S
35085,1.556,13.07,0.858,0.335,-0.225,-0.316,S
35154,1.625,1.43,0.846,0.347,-0.234,-0.328,S
35208,1.679,-6.11,0.837,0.356,-0.24,-0.338,S
35262,1.733,13.74,0.827,0.364,-0.247,-0.347,S
35313,1.784,18.52,0.814,0.376,-0.255,-0.359,S
35363,1.834,10.45,0.806,0.383,-0.26,-0.367,S
35413,1.884,10.45,0.792,0.394,-0.268,-0.379,S
35463,1.934,13.12,0.783,0.401,-0.273,-0.386,S
35513,1.984,-11.57,0.774,0.408,-0.278,-0.394,S
35563,2.034,-11.57,0.758,0.42,-0.287,-0.407,S
35613,2.084,-0.06,0.748,0.426,-0.292,-0.414,S
35663,2.134,-18.68,0.739,0.433,-0.296,-0.421,S
35729,2.2,10.61,0.725,0.442,-0.303,-0.431,S
35783,2.254,9.94,0.713,0.449,-0.308,-0.439,S
35837,2.308,-2.06,0.701,0.456,-0.314,-0.448,S
35888,2.359,24.25,0.685,0.465,-0.321,-0.458,S
35938,2.409,6.23,0.674,0.471,-0.325,-0.465,S
35988,2.459,6.23,0.657,0.48,-0.331,-0.475,S
36038,2.509,35.87,0.646,0.485,-0.336,-0.482,S
36088,2.559,2.6,0.635,0.491,-0.34,-0.488,S
36138,2.609,2.6,0.615,0.5,-0.347,-0.499,S
36188,2.659,-9.44,0.604,0.505,-0.35,-0.506,S
36238,2.709,14.24,0.593,0.509,-0.354,-0.512,S
36304,2.775,9.78,0.577,0.516,-0.359,-0.52,S
36358,2.829,1.43,0.563,0.521,-0.363,-0.527,S
36412,2.883,21.75,0.549,0.526,-0.367,-0.534,S
36463,2.934,6.67,0.53,0.533,-0.372,-0.543,S
36513,2.984,20.02,0.518,0.537,-0.375,-0.549,S
36564,3.035,17.18,0.506,0.54,-0.378,-0.554,S
36615,3.086,38.21,0.487,0.546,-0.382,-0.563,S
36665,3.136,14.18,0.475,0.549,-0.385,-0.569,S
36716,3.187,4.17,0.463,0.551,-0.387,-0.574,S
36767,3.238,40.54,0.444,0.555,-0.39,-0.583,S
36817,3.288,36.54,0.433,0.558,-0.392,-0.588,S
36868,3.339,-11.28,0.421,0.559,-0.394,-0.594,S
36922,3.393,9.74,0.408,0.561,-0.396,-0.6,S
36973,3.444,9.74,0.39,0.563,-0.399,-0.608,S
37023,3.494,27.76,0.38,0.563,-0.401,-0.613,S
37074,3.545,22.52,0.369,0.564,-0.403,-0.618,S
37125,3.596,6.06,0.352,0.564,-0.406,-0.625,S
37175,3.646,18.08,0.342,0.564,-0.408,-0.63,S
37226,3.697,-12.34,0.332,0.564,-0.41,-0.634,S
37276,3.747,-12.34,0.313,0.563,-0.414,-0.641,S
37326,3.797,34.47,0.303,0.562,-0.417,-0.645,S
37376,3.847,11.4,0.292,0.562,-0.419,-0.649,S
37426,3.897,11.4,0.276,0.561,-0.423,-0.655,S
37476,3.947,8.28,0.265,0.56,-0.426,-0.658,S
37526,3.997,12.41,0.255,0.559,-0.429,-0.661,S
37576,4.047,11.45,0.242,0.558,-0.432,-0.665,S
37626,4.097,2.77,0.227,0.556,-0.435,-0.669,S
37676,4.147,10.67,0.217,0.555,-0.438,-0.672,S
37726,4.197,-3.27,0.206,0.553,-0.441,-0.675,S
37777,4.248,22.02,0.189,0.551,-0.445,-0.679,S
37827,4.298,6.11,0.178,0.55,-0.447,-0.681,S
37877,4.348,13.07,0.167,0.548,-0.45,-0.684,S
37928,4.399,9.74,0.155,0.546,-0.453,-0.686,S
37978,4.449,18.12,0.139,0.544,-0.456,-0.689,S
38028,4.499,39.71,0.129,0.542,-0.459,-0.691,S
38078,4.549,39.71,0.111,0.539,-0.463,-0.694,S
38128,4.599,16.85,0.1,0.537,-0.465,-0.695,S
38179,4.65,3.06,0.087,0.534,-0.468,-0.697,S
38246,4.717,38.48,0.072,0.531,-0.471,-0.699,S
38300,4.771,26.09,0.059,0.528,-0.474,-0.7,S
38354,4.825,5.4,0.045,0.526,-0.477,-0.702,S
38405,4.876,23.86,0.028,0.522,-0.48,-0.703,S
38455,4.926,16.52,0.017,0.519,-0.483,-0.704,S
38506,4.977,-0.83,0.006,0.517,-0.485,-0.705,S
38557,5.028,29.8,-0.011,0.512,-0.488,-0.705,S
38607,5.078,10.4,-0.022,0.509,-0.49,-0.706,S
38658,5.129,28.47,-0.033,0.506,-0.492,-0.706,S
38712,5.183,0.6,-0.047,0.503,-0.494,-0.706,S
38763,5.234,12.01,-0.064,0.498,-0.497,-0.706,S
38813,5.284,8.4,-0.076,0.495,-0.499,-0.706,S
38864,5.335,7.11,-0.087,0.492,-0.501,-0.706,S
38915,5.386,11.01,-0.104,0.486,-0.504,-0.705,S
38965,5.436,12.84,-0.116,0.483,-0.505,-0.704,S
39016,5.487,-19.35,-0.127,0.48,-0.507,-0.704,S
39070,5.541,-13.85,-0.14,0.475,-0.509,-0.703,S
39121,5.592,0.1,-0.158,0.47,-0.511,-0.701,S
39171,5.642,27.42,-0.169,0.466,-0.512,-0.7,S
39221,5.692,27.42,-0.186,0.46,-0.515,-0.698,S
39271,5.742,23.36,-0.197,0.456,-0.516,-0.697,S
39321,5.792,12.84,-0.208,0.452,-0.517,-0.695,S
39371,5.842,12.84,-0.228,0.445,-0.519,-0.692,S
39421,5.892,1.33,-0.239,0.44,-0.52,-0.69,S
39471,5.942,-3.6,-0.25,0.436,-0.521,-0.688,S
39537,6.008,2.1,-0.265,0.43,-0.523,-0.685,S
39591,6.062,1.5,-0.278,0.425,-0.524,-0.682,S
39645,6.116,1.23,-0.291,0.42,-0.525,-0.68,S
39696,6.167,14.62,-0.308,0.412,-0.526,-0.675,S
39746,6.217,12.01,-0.319,0.408,-0.527,-0.673,S
39797,6.268,-1.73,-0.33,0.403,-0.528,-0.67,S
39848,6.319,26.13,-0.347,0.395,-0.529,-0.665,S
39898,6.369,-5.17,-0.357,0.39,-0.529,-0.662,S
39949,6.42,28.03,-0.368,0.386,-0.53,-0.659,S
40003,6.474,-22.02,-0.38,0.38,-0.53,-0.654,S
40054,6.525,-6.84,-0.397,0.371,-0.531,-0.649,S
40104,6.575,-2.73,-0.407,0.366,-0.531,-0.645,S
40155,6.626,5.23,-0.418,0.361,-0.531,-0.641,S
40206,6.677,2.77,-0.434,0.353,-0.531,-0.635,S
40256,6.727,6.23,-0.444,0.347,-0.531,-0.631,S
40307,6.778,3.0,-0.454,0.342,-0.531,-0.626,S
40361,6.832,3.17,-0.466,0.335,-0.531,-0.621,S
40412,6.883,0.5,-0.482,0.326,-0.531,-0.614,S
40462,6.933,6.73,-0.492,0.321,-0.531,-0.609,S
40512,6.983,6.73,-0.508,0.311,-0.531,-0.601,S
40562,7.033,-14.91,-0.518,0.306,-0.53,-0.596,S
40612,7.083,2.83,-0.527,0.3,-0.53,-0.591,S
40662,7.133,2.83,-0.544,0.289,-0.529,-0.582,S
40712,7.183,2.73,-0.554,0.283,-0.529,-0.576,S
40762,7.233,7.34,-0.563,0.277,-0.528,-0.571,S
40812,7.283,11.68,-0.572,0.271,-0.527,-0.565,S
40862,7.333,9.84,-0.585,0.262,-0.526,-0.557,S
40913,7.384,5.06,-0.596,0.254,-0.525,-0.549,S
40963,7.434,-0.06,-0.605,0.248,-0.524,-0.543,S
41013,7.484,15.68,-0.618,0.239,-0.523,-0.535,S
41064,7.535,-9.4,-0.628,0.231,-0.522,-0.527,S
41114,7.585,4.5,-0.637,0.225,-0.521,-0.52,S
41164,7.635,-15.85,-0.645,0.218,-0.52,-0.514,S
41214,7.685,25.69,-0.657,0.209,-0.518,-0.504,S
41265,7.736,22.92,-0.667,0.201,-0.516,-0.496,S
41315,7.786,7.23,-0.675,0.194,-0.515,-0.489,S
41365,7.836,15.51,-0.687,0.185,-0.513,-0.478,S
41416,7.887,16.29,-0.696,0.177,-0.511,-0.47,S
41466,7.937,-5.17,-0.704,0.17,-0.51,-0.462,S
41516,7.987,6.61,-0.712,0.163,-0.508,-0.454,S
41566,8.037,0.89,-0.723,0.153,-0.506,-0.444,S
41617,8.088,17.35,-0.731,0.145,-0.504,-0.434,S
41667,8.138,13.95,-0.739,0.138,-0.502,-0.426,S
41717,8.188,17.75,-0.749,0.128,-0.499,-0.415,S
41768,8.239,7.9,-0.757,0.119,-0.497,-0.405,S
41818,8.289,6.4,-0.764,0.112,-0.495,-0.396,S
41869,8.34,11.91,-0.771,0.105,-0.493,-0.388,S
41920,8.391,8.44,-0.781,0.093,-0.489,-0.374,S
41970,8.441,-1.73,-0.788,0.086,-0.487,-0.365,S
42020,8.491,-1.73,-0.798,0.074,-0.483,-0.351,S
42070,8.541,12.01,-0.804,0.067,-0.48,-0.342,S
42120,8.591,9.34,-0.81,0.059,-0.478,-0.333,S
42170,8.641,9.34,-0.82,0.046,-0.473,-0.316,S
42220,8.691,-0.1,-0.826,0.039,-0.47,-0.307,S
42270,8.741,4.9,-0.831,0.031,-0.467,-0.297,S
42320,8.791,-13.57,-0.836,0.024,-0.464,-0.287,S
42370,8.841,-13.57,-0.843,0.014,-0.46,-0.274,S
42421,8.892,613.98,-0.849,0.005,-0.457,-0.262,S
42471,8.942,1022.81,-0.854,-0.002,-0.453,-0.252,S
42521,8.992,1393.64,-0.86,-0.012,-0.449,-0.238,S
42572,9.043,2366.57,-0.865,-0.021,-0.445,-0.226,S
42622,9.093,3577.88,-0.87,-0.028,-0.441,-0.216,S
42672,9.143,4796.44,-0.874,-0.036,-0.438,-0.206,S
42722,9.193,4796.44,-0.879,-0.046,-0.433,-0.191,S
42772,9.243,4796.44,-0.883,-0.055,-0.429,-0.179,S
42822,9.293,4796.44,-0.887,-0.062,-0.425,-0.168,S
42872,9.343,4796.44,-0.89,-0.069,-0.421,-0.157,S
42922,9.393,4796.44,-0.893,-0.078,-0.416,-0.145,S
42972,9.443,4796.44,-0.897,-0.088,-0.411,-0.13,S
43022,9.493,4796.44,-0.9,-0.095,-0.407,-0.119,S
43072,9.543,4796.44,-0.902,-0.103,-0.402,-0.108,S
43126,9.597,4796.44,-0.905,-0.111,-0.397,-0.095,S
43180,9.651,4796.44,-0.908,-0.12,-0.392,-0.082,S
43233,9.704,4796.44,-0.91,-0.128,-0.387,-0.069,S
43284,9.755,4796.44,-0.912,-0.139,-0.38,-0.051,S
43334,9.805,4796.44,-0.914,-0.146,-0.375,-0.04,S
43385,9.856,4796.44,-0.915,-0.153,-0.37,-0.029,S
43439,9.91,4796.44,-0.916,-0.161,-0.365,-0.016,S
43493,9.964,4796.44,-0.917,-0.169,-0.359,-0.003,S
43546,10.017,4796.44,-0.918,-0.177,-0.353,0.01,S
43597,10.068,4796.44,-0.918,-0.188,-0.345,0.027,S
43647,10.118,4796.44,-0.918,-0.194,-0.34,0.038,S
43698,10.169,4796.44,-0.918,-0.201,-0.335,0.05,S
43806,10.277,4796.44,-0.918,-0.216,-0.322,0.076,S
43859,10.33,4796.44,-0.917,-0.224,-0.316,0.09,S
43910,10.381,4796.44,-0.915,-0.234,-0.307,0.107,S
43960,10.431,4796.44,-0.914,-0.242,-0.3,0.123,S
44010,10.481,4796.44,-0.912,-0.248,-0.294,0.134,S
44061,10.532,4796.44,-0.91,-0.256,-0.287,0.147,S
44111,10.582,4796.44,-0.909,-0.261,-0.282,0.158,S
44162,10.633,4796.44,-0.907,-0.267,-0.276,0.169,S
44216,10.687,4796.44,-0.904,-0.274,-0.269,0.182,S
44270,10.741,4796.44,-0.901,-0.281,-0.262,0.195,S
44324,10.795,4796.44,-0.898,-0.288,-0.255,0.208,S
44378,10.849,5773.08,-0.895,-0.294,-0.248,0.221,S
44432,10.903,10455.22,-0.892,-0.301,-0.241,0.234,S
44486,10.957,10455.22,-0.888,-0.307,-0.234,0.247,S
44540,11.011,10455.22,-0.884,-0.313,-0.226,0.26,S
44594,11.065,10455.22,-0.88,-0.32,-0.219,0.273,S
44648,11.119,10455.22,-0.875,-0.326,-0.212,0.285,S
44702,11.173,10455.22,-0.871,-0.332,-0.204,0.298,S
44756,11.227,10455.22,-0.866,-0.337,-0.197,0.31,S
44810,11.281,10455.22,-0.861,-0.343,-0.189,0.323,S
44864,11.335,10455.22,-0.855,-0.349,-0.182,0.335,S
44918,11.389,10455.22,-0.85,-0.354,-0.174,0.347,S
44972,11.443,10455.22,-0.844,-0.36,-0.167,0.359,S
45026,11.497,10455.22,-0.838,-0.365,-0.159,0.371,S
45080,11.551,10455.22,-0.832,-0.37,-0.151,0.383,S
45133,11.604,10455.22,-0.825,-0.375,-0.144,0.395,S
45184,11.655,10455.22,-0.816,-0.382,-0.133,0.41,S
45234,11.705,10455.22,-0.811,-0.386,-0.127,0.42,S
45285,11.756,10455.22,-0.805,-0.39,-0.12,0.429,S
45339,11.81,10455.22,-0.797,-0.394,-0.113,0.441,S
45392,11.863,10455.22,-0.79,-0.399,-0.105,0.452,S
45443,11.914,10455.22,-0.78,-0.405,-0.094,0.466,S
45493,11.964,10455.22,-0.773,-0.408,-0.088,0.475,S
45544,12.015,18727.64,-0.767,-0.412,-0.081,0.484,S
45598,12.069,17892.38,-0.758,-0.416,-0.073,0.495,S
45652,12.123,17173.17,-0.75,-0.419,-0.065,0.505,S
45703,12.174,16071.55,-0.739,-0.424,-0.055,0.519,S
45753,12.224,15951.3,-0.731,-0.428,-0.048,0.527,S
45804,12.275,15623.5,-0.724,-0.43,-0.041,0.536,S
45855,12.326,14692.75,-0.712,-0.435,-0.031,0.549,S
45905,12.376,13510.13,-0.704,-0.438,-0.024,0.557,S
45956,12.427,10758.59,-0.697,-0.44,-0.018,0.565,S
46010,12.481,6436.39,-0.687,-0.443,-0.01,0.574,S
46061,12.532,3100.86,-0.674,-0.447,0.0,0.586,S
