AlignedTime(s),Timestamp1(ms),Crutch1_Force,Crutch1_Qw,Crutch1_Qx,Crutch1_Qy,Crutch1_Qz,Timestamp2(ms),Crutch2_Force,Crutch2_Qw,Crutch2_Qx,Crutch2_Qy,Crutch2_Qz
0.0,205612,-143.14,0.739,-0.248,0.493,0.385,19910,0.0,0.999,-0.001,0.0,0.0
0.0505,205662,-178.14,0.744,-0.243,0.492,0.378,19961,573.76,0.999,-0.012,0.002,0.005
0.1005,205712,-155.66,0.749,-0.233,0.494,0.373,20011,99.22,0.999,-0.023,0.007,0.011
0.151,205763,-141.35,0.746,-0.233,0.497,0.373,20061,122.25,0.999,-0.01,0.013,0.017
0.20550000000000002,205822,-215.65,0.744,-0.231,0.506,0.369,20111,81.82,0.999,0.02,0.02,0.023
0.2555,205872,-283.18,0.748,-0.214,0.513,0.359,20161,130.55,0.998,0.04,0.027,0.027
0.3055,205922,-223.39,0.76,-0.196,0.51,0.349,20211,121.37,0.998,0.024,0.03,0.028
0.3555,205972,-115.75,0.769,-0.189,0.502,0.345,20261,134.83,0.999,0.008,0.032,0.028
0.40549999999999997,206022,-133.85,0.77,-0.202,0.489,0.353,20311,71.65,0.999,0.001,0.034,0.027
0.456,206072,-120.86,0.768,-0.219,0.48,0.362,20362,2846.42,0.998,0.01,0.038,0.026
0.5065,206123,-145.24,0.765,-0.225,0.48,0.363,20412,102.85,0.998,0.018,0.04,0.026
0.5605,206181,-70.88,0.763,-0.229,0.482,0.364,20462,124.42,0.998,0.024,0.043,0.026
0.6105,206231,-176.24,0.759,-0.239,0.479,0.369,20512,124.42,0.998,0.027,0.047,0.026
0.6605000000000001,206281,-159.45,0.757,-0.245,0.476,0.372,20562,132.39,0.997,0.027,0.05,0.026
0.7104999999999999,206331,-192.0,0.758,-0.244,0.476,0.372,20612,108.69,0.997,0.029,0.053,0.025
0.7605,206381,-205.76,0.759,-0.241,0.475,0.371,20662,140.44,0.997,0.033,0.056,0.025
0.8105,206431,-112.63,0.761,-0.239,0.475,0.37,20712,113.2,0.997,0.033,0.062,0.024
0.861,206482,-143.63,0.76,-0.239,0.475,0.371,20762,108.13,0.997,0.03,0.066,0.024
0.9155,206541,-153.32,0.759,-0.241,0.474,0.373,20812,118.64,0.996,0.025,0.07,0.024
0.966,206591,-115.22,0.759,-0.243,0.472,0.375,20863,103.73,0.996,0.02,0.074,0.025
1.0165,206641,-207.48,0.758,-0.245,0.47,0.377,20914,130.05,0.996,0.017,0.081,0.027
1.0665,206691,-123.2,0.758,-0.247,0.467,0.38,20964,158.13,0.995,0.017,0.085,0.029
