Timestamp(ms),AlignedTime(s),Force,Qw,Qx,Qy,Qz,Command
30155,0.0,-183.14,0.999,0.001,0.002,0.002,S
30205,0.05,-250.05,0.999,0.003,0.005,0.005,S
30255,0.1,-78.29,0.999,0.003,0.008,0.007,S
30305,0.15,-217.29,0.999,0.002,0.012,0.009,S
30355,0.2,-175.31,0.999,0.001,0.016,0.01,S
30413,0.258,-228.79,0.999,0.0,0.019,0.011,S
30463,0.308,-244.88,0.999,-0.001,0.023,0.012,S
30513,0.358,-187.28,0.999,-0.001,0.027,0.013,S
30563,0.408,-242.55,0.999,0.0,0.03,0.013,S
30613,0.458,-250.43,0.999,0.0,0.033,0.013,S
30663,0.508,-78.73,0.999,-0.001,0.036,0.012,S
30714,0.559,-155.66,0.999,-0.003,0.038,0.012,S
30773,0.618,-181.09,0.999,-0.004,0.041,0.011,S
30823,0.668,-223.13,0.998,-0.003,0.044,0.012,S
30873,0.718,-223.13,0.998,-0.001,0.048,0.012,S
30923,0.768,-254.34,0.998,0.001,0.052,0.013,S
30973,0.818,-144.56,0.998,0.002,0.056,0.014,S
31023,0.868,-181.68,0.997,0.001,0.061,0.016,S
31074,0.919,-183.78,0.997,0.0,0.067,0.016,S
31132,0.977,-207.66,0.997,0.0,0.071,0.017,S
31182,1.027,-99.49,0.996,-0.001,0.076,0.018,S
31232,1.077,-211.51,0.996,-0.002,0.08,0.019,S
31282,1.127,-211.95,0.996,-0.006,0.085,0.019,S
31332,1.177,-208.74,0.995,-0.009,0.09,0.02,S
31382,1.227,-165.82,0.995,-0.012,0.094,0.021,S
31433,1.278,-132.34,0.994,-0.017,0.099,0.023,S
31491,1.336,-193.36,0.994,-0.022,0.103,0.024,S
31541,1.386,-199.6,0.993,-0.025,0.11,0.026,S
31591,1.436,-144.6,0.992,-0.026,0.115,0.027,S
31641,1.486,-138.29,0.991,-0.029,0.121,0.027,S
31691,1.536,-175.66,0.991,-0.033,0.125,0.028,S
31741,1.586,-180.86,0.99,-0.038,0.13,0.028,S
31791,1.636,-244.01,0.989,-0.041,0.134,0.029,S
31850,1.695,-191.9,0.988,-0.044,0.139,0.03,S
31901,1.746,-204.56,0.988,-0.045,0.143,0.03,S
31951,1.796,-191.75,0.987,-0.047,0.146,0.031,S
32001,1.846,-256.71,0.987,-0.05,0.148,0.032,S
32051,1.896,-128.11,0.986,-0.053,0.151,0.032,S
32101,1.946,-164.12,0.985,-0.055,0.154,0.033,S
32152,1.997,-202.31,0.985,-0.056,0.156,0.034,S
32210,2.055,-198.52,0.984,-0.057,0.158,0.035,S
32260,2.105,-134.05,0.984,-0.06,0.16,0.036,S
32310,2.155,-181.29,0.984,-0.063,0.161,0.037,S
32360,2.205,-140.66,0.984,-0.062,0.161,0.038,S
32410,2.255,-211.13,0.983,-0.061,0.162,0.04,S
32460,2.305,-169.62,0.983,-0.059,0.164,0.041,S
32511,2.356,-169.62,0.983,-0.057,0.167,0.043,S
32569,2.414,-165.09,0.982,-0.06,0.171,0.044,S
32619,2.464,-205.53,0.98,-0.067,0.176,0.045,S
32669,2.514,-284.35,0.979,-0.075,0.181,0.045,S
32719,2.564,-194.49,0.978,-0.077,0.185,0.046,S
32769,2.614,-203.39,0.977,-0.078,0.188,0.046,S
32819,2.664,-49.57,0.977,-0.077,0.191,0.047,S
32870,2.715,-194.72,0.976,-0.077,0.194,0.048,S
32928,2.773,-249.61,0.976,-0.078,0.196,0.049,S
32978,2.823,-236.09,0.975,-0.079,0.198,0.05,S
