Time(us),Reading
1256181,1.39
1260097,3.48
1271099,19.47
1282097,24.68
1293098,27.46
1304097,7.13
1315098,-14.60
1327097,-11.82
1338099,14.78
1349097,9.91
1360098,-11.30
1371097,8.00
1382098,15.30
1394097,13.04
1405098,-5.39
1416097,9.56
1427099,11.99
1438097,9.73
1449099,6.61
1461097,14.60
1472098,20.69
1483097,40.68
1494098,40.15
1505097,12.86
1517099,17.21
1528097,25.90
1539098,1.39
1550097,21.90
1561098,23.81
1572097,22.08
1584098,13.73
1595097,-14.08
1606098,-31.81
1617097,-10.08
1628098,1.56
1639097,3.13
1651098,5.74
1662097,-3.30
1673098,4.52
1684097,-16.69
1695098,-15.30
1706097,1.39
1718099,21.38
1729097,-3.13
1740098,-26.42
1751097,-1.91
1762098,-15.30
1773097,-1.91
1785099,11.30
1796097,10.26
1807098,30.07
1818097,21.38
1829098,13.04
1840097,6.43
1852098,16.51
1863097,21.90
1874098,4.69
1885097,2.61
1896098,-17.38
1907097,-2.43
1919099,-4.69
1930097,-12.34
1941098,-18.60
1952097,0.35
1963099,22.25
1974097,-4.87
1986099,-28.51
1997097,-21.03
2008098,-19.47
2019097,-10.95
2030098,-20.69
2041097,-34.24
2053098,-17.04
2064097,0.00
2075098,25.73
2086097,28.86
2097098,30.42
2108097,19.12
2120098,-6.61
2131097,-7.47
2142098,14.43
2153097,7.82
2164098,2.43
2175097,0.00
2187099,-10.08
2198097,-4.87
2209098,-5.04
2220097,-1.04
2231098,-1.39
2242097,-5.74
2254098,-11.12
2265097,20.34
2276099,0.52
2287097,1.56
2298098,14.43
2309097,19.64
2321098,-9.56
2332097,-7.65
2343098,8.87
2354097,-14.43
2365098,-7.47
2376097,-7.13
2388098,-6.43
2399097,-1.04
2410099,12.17
2421097,9.21
2432098,30.07
2443097,35.81
2455098,3.13
2466097,1.91
2477098,30.59
2488097,46.06
2499098,31.81
2510097,13.04
2522098,-21.03
2533097,-20.69
2544098,-9.39
2555097,-11.47
2566098,-8.87
2578097,-6.08
2589098,-16.51
2600097,-3.65
2611099,17.38
2622097,4.00
2633099,17.38
2645097,49.37
2656098,38.42
2667097,4.69
2678098,-30.42
2689097,3.65
2700098,19.29
2712097,17.38
2723098,1.39
2734097,7.82
2745098,-8.69
2756097,-28.51
2767098,-19.12
2779097,-8.34
2790098,-3.65
2801097,7.47
2812098,24.16
2823097,-9.04
2834099,1.04
2846097,10.08
2857098,34.94
2868097,-1.04
2879098,-3.30
2890097,7.47
2901099,1.04
2913097,9.91
2924099,18.43
2935097,5.04
2946099,-0.70
2957097,2.96
2968098,-6.78
2980097,9.21
2991099,-2.43
3002097,5.04
3013099,23.29
3024097,36.16
3035098,7.30
3047097,1.74
3058098,18.60
3069097,22.77
3080099,20.34
3091097,7.65
3102098,-12.52
3114097,-19.82
3125099,19.47
3136097,19.47
3147098,27.12
3158097,-15.12
3169098,-31.98
3181097,-16.51
3192099,-10.26
3203097,-26.77
3214098,-2.96
3225097,27.12
3236098,7.47
3248097,-5.56
3259098,-14.43
3270097,-0.70
3281098,5.04
3292097,17.90
3303098,15.82
3315097,-3.13
3326098,-30.42
3337097,-35.63
3348098,4.52
3359097,34.24
3370098,30.59
3382097,4.52
3393098,4.17
3404097,11.12
3415098,-0.17
3426097,-12.52
3437098,-16.34
3449097,-4.52
3460099,10.60
3471097,23.64
3482098,-6.78
3493097,4.17
3504098,-11.65
3516097,-9.91
3527098,25.03
3538097,33.03
3549098,13.91
3560097,19.29
3572098,6.95
3583097,23.12
3594098,33.20
3605097,30.77
3616099,19.64
3627097,7.65
3639098,12.69
3650097,-7.47
3661099,-1.91
3672097,9.73
3683098,39.46
3694097,27.46
3706099,-11.47
3717097,8.34
3728098,41.54
3739097,9.39
3750099,-12.86
3761097,17.21
3773098,15.82
3784097,-10.43
3795098,-13.91
3806097,2.78
3817098,20.69
3828097,13.04
3840098,14.08
3851097,32.51
3862098,26.07
3873097,19.64
3884099,9.04
3895097,-8.00
3907099,0.52
3918097,-3.30
3929098,18.25
3940097,25.55
3951098,3.13
3962097,6.95
3974099,-10.43
3985097,-4.87
3996099,11.30
4007097,13.38
4018099,-1.74
4029097,-7.30
4041098,-20.69
4052097,-28.51
4063098,-18.60
4074097,-18.43
4085098,-18.77
4096097,-0.17
4108098,2.26
4119097,4.35
4130098,7.82
4141097,12.34
4152099,19.82
4163097,25.90
4175098,9.91
4186097,-3.30
4197099,18.95
4208097,9.91
4219099,5.21
4230097,16.86
4242098,-4.35
4253097,-30.25
4264098,2.26
4275097,37.89
4286098,14.43
4297097,22.08
4309098,31.11
4320097,9.39
4331098,12.86
4342097,16.34
4353099,19.47
4364097,3.65
4376099,-24.86
4387097,-9.73
4398099,11.30
4409097,9.04
4420099,15.64
4431097,13.73
4443098,-4.35
4454097,6.43
4465098,-19.82
4476097,-40.15
4487099,-35.46
4498097,-22.25
4510098,7.13
4521097,7.47
4532099,0.35
4543097,-5.91
4554098,-9.56
4565097,8.17
4577099,15.64
4588097,4.00
4599098,4.35
4610097,1.56
4621098,24.34
4632097,42.76
4644098,29.90
4655097,39.46
4666099,45.02
4677097,12.34
4688098,24.34
4699097,30.94
4711098,28.16
4722097,23.99
4733099,16.17
4744097,35.46
4755098,25.20
4767097,21.38
4778098,29.20
4789097,24.68
4800098,35.98
4811097,13.21
4822098,-10.95
4834097,21.38
4845098,37.03
4856097,39.28
4867098,13.04
4878097,8.17
4889098,8.34
4901097,5.91
4912098,1.91
4923097,-5.56
4934098,17.90
4945097,-1.91
4956098,-7.65
4968097,8.87
4979098,8.52
4990097,17.73
5001098,4.87
5012097,8.87
5023098,2.96
5035097,15.47
5046098,28.51
5057097,6.61
5068098,-16.34
5079097,13.73
5090098,-3.48
5102097,-4.17
5113098,35.81
5124097,3.65
5135098,-4.35
5146097,3.30
5157099,8.69
5169097,1.39
5180099,-26.94
5191097,-20.69
5202099,-24.68
5213097,-2.26
5224099,17.21
5236097,25.90
5247099,22.42
5258097,-2.26
5269099,-4.87
5280097,-24.16
5291098,-21.03
5303097,-7.82
5314099,-28.86
5325097,-8.69
5336099,11.99
5347097,0.17
5358099,6.61
5370097,8.87
5381098,-20.16
5392097,-42.94
5403098,-35.63
5414097,-34.77
5425099,-45.19
5437097,-51.97
5448099,-45.19
5459097,-35.98
5470098,-6.61
5481097,-2.09
5492098,-51.63
5504097,-61.71
5515099,-49.19
5526097,-40.50
5537098,-35.98
5548097,-21.73
5559099,-27.12
5571097,-15.99
5582098,-10.95
5593097,6.26
5604098,-17.38
5615097,-22.25
5626098,-13.73
5638097,-22.08
5649098,-43.11
5660097,-38.76
5671099,-36.50
5682097,-24.68
5693099,-27.64
5705097,-19.29
5716098,-15.30
5727097,-20.16
5738099,-4.69
5749097,-1.04
5760098,-13.04
5772097,-29.38
5783099,-21.55
5794097,-20.16
5805098,-1.56
5816097,-34.07
5828099,-24.86
5839097,-3.30
5850098,25.03
5861097,22.25
5872099,0.35
5883097,-1.56
5895098,5.56
5906097,27.12
5917098,9.73
5928097,-12.69
5939099,-1.74
5950097,13.21
5962098,2.09
5973097,-5.74
5984098,-17.21
5995097,-11.65
6006098,4.00
6017097,2.09
6029098,-6.26
6040097,-17.38
6051098,8.87
6062097,32.85
6073098,26.77
6084097,18.77
6096098,-20.69
6107097,-12.17
6118099,-21.90
6129097,-13.21
6140099,-22.08
6151097,-5.91
6163099,14.78
6174097,-0.70
6185098,-13.04
6196097,15.47
6207098,27.64
6218097,4.00
6230098,-14.95
6241097,-6.78
6252099,18.43
6263097,17.73
6274098,2.43
6285097,-8.17
6297099,-1.04
6308097,5.74
6319099,16.86
6330097,-9.04
6341099,-22.95
6352097,-17.04
6364098,-18.08
6375097,-21.21
6386098,-11.30
6397097,4.35
6408099,22.42
6419097,21.55
6431098,15.82
6442097,2.61
6453099,-0.52
6464097,-10.26
6475098,-19.12
6486097,-5.74
6498098,-8.69
6509097,-34.07
6520098,-40.85
6531097,-40.68
6542098,-20.69
6553097,0.17
6565099,9.39
6576097,1.74
6587099,0.17
6598097,-3.13
6609098,-14.78
6620097,-8.87
6632098,-43.28
6643097,-29.55
6654098,-6.26
6665097,-3.48
6676098,-14.08
6687097,-14.95
6699098,-1.22
6710097,-0.17
6721098,-13.56
6732097,2.43
6743098,-11.30
6754097,-18.43
6766098,-17.90
6777097,4.17
6788098,27.81
6799097,8.87
6810098,-7.82
6821097,-18.60
6833098,-8.52
6844097,-12.52
6855098,-17.21
6866097,-30.94
6877099,-38.24
6888097,-43.63
6900098,-15.12
6911097,22.60
6922099,-30.94
6933097,-32.68
6944099,-22.08
6955097,-14.43
6967099,-12.86
6978097,-10.43
6989098,-29.20
7000097,-29.03
7011098,-26.42
7023097,-33.72
7034098,-40.33
7045097,-50.41
7056098,-31.11
7067097,-2.26
7078098,-19.82
7090097,-48.15
7101098,-26.60
7112097,-33.55
7123099,-46.24
7134097,-39.98
7145098,-31.81
7157097,-24.68
7168098,-18.25
7179097,5.74
7190098,2.26
7201097,-15.30
7212099,-25.38
7224097,-12.86
7235098,-11.12
7246097,-28.51
7257098,-30.42
7268097,-25.03
7279099,-22.08
7291097,-8.69
7302098,4.17
7313097,-19.12
7324099,-25.38
7335097,-20.51
7346098,-23.81
7358097,-11.30
7369098,-7.65
7380097,3.13
7391098,2.78
7402097,-2.26
7413098,-16.34
7425097,-15.47
7436099,-22.60
7447097,-19.64
7458099,-10.26
7469097,10.26
7480098,4.52
7492097,-24.86
7503098,-14.78
7514097,16.69
7525099,-15.64
7536097,-13.73
7547098,-13.38
7559097,-5.39
7570099,14.25
7581097,7.30
7592099,-25.73
7603097,-25.03
7614099,-34.42
7626097,-12.69
7637099,18.77
7648097,19.64
7659098,-5.39
7670097,-26.77
7681098,-6.61
7693097,4.69
7704098,-10.60
7715097,-46.41
7726098,-28.68
7737097,-0.52
7748098,-26.60
7760097,-12.86
7771098,-5.56
7782097,11.82
7793098,1.91
7804097,5.56
7815098,18.25
7827097,12.17
7838098,-15.82
7849097,-13.91
7860098,-13.91
7871097,-13.91
7882098,-18.77
7894097,-59.45
7905098,-43.11
7916097,-26.94
7927098,2.09
7938097,22.77
7949099,-22.25
7961097,-34.94
7972098,-4.17
7983097,-18.08
7994098,-20.86
8005097,-29.20
8016098,-14.25
8028097,-22.08
8039098,4.00
8050097,-10.60
8061098,-6.08
8072097,-19.12
8083098,-18.43
8095097,-9.91
8106098,-11.30
8117097,-3.30
8128098,2.78
8139097,-5.21
8150098,-3.48
8162097,-31.29
8173098,-31.64
8184097,-23.64
8195098,-15.30
8206097,3.82
8218098,-26.42
8229097,-37.89
8240098,-16.86
8251097,-17.73
8262098,-3.65
8273097,4.17
8285098,-13.21
8296097,-5.91
8307099,-28.86
8318097,-26.42
8329099,10.60
8340097,-0.35
8352098,-9.04
8363097,-6.08
8374098,-3.82
8385097,-8.52
8396098,-14.43
8407097,-13.21
8419098,-37.03
8430097,-39.63
8441099,-25.55
8452097,-14.78
8463099,-35.11
8474097,-38.94
8486098,-27.99
8497097,-45.37
8508099,-46.93
8519097,-52.84
8530099,-21.90
8541097,-18.08
8553098,-13.56
8564097,-9.91
8575098,-30.07
8586097,-46.24
8597098,-61.88
8608097,-45.37
8620099,-35.11
8631097,-35.98
8642099,-27.64
8653097,-31.11
8664099,-23.12
8675097,-5.91
8687098,-14.60
8698097,-36.85
8709099,-37.89
8720097,-58.58
8731098,-59.10
8742097,-29.90
8754098,-9.56
8765097,22.95
8776098,13.38
8787097,-2.61
8798099,10.60
8809097,21.21
8821098,7.47
8832097,-0.17
8843098,23.47
8854097,20.51
8865099,-33.90
8876097,-31.98
8888098,4.00
8899097,6.61
8910098,-19.82
8921097,5.91
8932099,23.12
8943097,12.86
8955099,-0.70
8966097,19.12
8977098,7.30
8988097,-19.82
8999099,0.70
9010097,31.81
9022099,5.21
9033097,-25.55
9044099,-3.13
9055097,4.00
9066099,-1.74
9077097,0.70
9089099,14.25
9100097,17.04
9111099,0.17
9122097,-35.63
9133098,-14.60
9144097,18.60
9156099,11.30
9167097,-4.00
9178099,-32.33
9189097,-19.64
9200098,-19.12
9212097,-35.29
9223099,-7.30
9234097,-4.87
9245098,15.47
9256097,-16.34
9267098,2.61
9279097,0.87
9290098,-19.47
9301097,-29.72
9312098,-18.43
9323097,-12.52
9334098,-18.25
9346097,-12.86
9357098,-16.69
9368097,-7.30
9379099,-21.55
9390097,-21.73
9401098,323.84
9413097,1104.50
9424099,478.02
9435097,66.92
9446099,-12.86
9457097,-31.11
9468098,123.59
9480097,289.42
9491098,277.25
9502097,263.70
9513099,239.36
9524097,277.25
9535099,319.84
9547097,320.88
9558099,391.81
9569097,453.17
9580099,439.43
9591097,481.85
9602099,541.99
9614097,570.85
9625098,582.49
9636097,576.58
9647099,525.65
9658097,549.47
9669098,575.37
9681097,623.17
9692098,677.92
9703097,695.48
9714098,718.25
9725097,723.64
9736098,713.38
9748097,697.91
9759098,676.71
9770097,706.95
9781098,709.39
9792097,710.95
9803098,697.39
9815097,698.44
9826098,708.69
9837097,729.03
9848098,715.12
9859097,712.86
9870098,730.77
9882097,705.39
9893098,669.23
9904097,634.47
9915098,643.33
9926097,647.85
9937098,645.07
9949097,666.10
9960098,664.19
9971097,725.55
9982098,745.02
9993097,742.94
10004098,763.97
10016097,786.22
10027099,779.09
10038097,764.84
10049099,765.88
10060097,780.31
10071098,780.48
10083097,795.78
10094098,850.01
10105097,874.35
10116099,867.92
10127097,889.12
10138098,898.51
10150097,903.38
10161099,911.37
10172097,920.76
10183098,960.57
10194097,968.04
10205098,962.48
10217097,951.18
10228098,961.44
10239097,966.30
10250098,966.82
10261097,988.21
10272098,1011.50
10284097,1016.02
10295099,1034.96
10306097,1038.79
10317099,1045.22
10328097,1045.57
10339098,1049.39
10351097,1071.12
10362098,1098.24
10373097,1081.72
10384099,1065.91
10395097,1072.86
10407099,1085.03
10418097,1047.13
10429098,1049.22
10440097,1083.81
10451098,1057.04
10462097,1046.78
10474098,1048.87
10485097,1020.19
10496098,1003.85
10507097,1010.45
10518098,976.91
10529097,998.11
10541098,968.04
10552097,935.19
10563098,918.67
10574097,912.42
10585098,937.97
10596097,987.68
10608099,1045.74
10619097,1129.00
10630098,1148.65
10641097,1143.08
10652098,1159.60
10663097,1206.01
10675098,1273.45
10686097,1361.41
10697098,1431.29
10708097,1522.55
10719099,1617.63
10730097,1718.80
10742099,1839.26
10753097,1966.33
10764098,2175.09
10775097,2411.15
10786099,2677.80
10797097,3042.66
10809099,3362.16
10820097,3607.95
10831098,3865.04
10842097,4108.92
10853098,4376.26
10864097,4658.21
10876098,4931.29
10887097,5111.55
10898098,5258.26
10909097,5313.54
10920099,5295.81
10931097,5205.94
10943099,5074.00
10954097,4903.48
10965099,4731.74
10976097,4487.16
10987098,4222.08
10998097,3863.82
11010098,3501.91
11021097,3152.17
11032098,2788.18
11043097,2453.56
11054098,2137.72
11065097,1826.05
11077099,1554.18
11088097,1349.59
11099098,1202.88
11110097,1077.38
11121098,995.68
11132097,906.16
11144099,866.70
11155097,854.36
11166098,816.12
11177097,782.22
11188098,727.64
11199097,661.41
11211098,619.17
11222097,590.84
11233098,571.02
11244097,576.76
11255098,546.34
11266097,513.66
11278099,515.40
11289097,517.13
11300098,513.48
11311097,529.65
11322099,552.77
11333097,589.97
11345098,618.13
11356097,681.92
11367099,723.99
11378097,765.71
11389098,875.91
11400097,984.21
11412098,1117.18
11423097,1335.51
11434099,1556.44
11445097,1828.48
11456099,2179.44
11467097,2534.39
11479099,2960.10
11490097,3417.61
11501099,3885.72
11512097,4310.56
11523099,4647.43
11534097,4942.42
11546098,5188.38
11557097,5398.88
11568099,5560.54
11579097,5638.07
11590098,5616.69
11601097,5555.50
11613098,5374.72
11624097,5168.22
11635098,4906.09
11646097,4642.22
11657099,4328.46
11668097,3942.74
11680098,3563.10
11691097,3161.04
11702099,2810.78
11713097,2539.78
11724099,2248.10
11735097,1992.23
11747098,1760.34
11758097,1542.89
11769098,1359.33
11780097,1202.53
11791099,1079.64
11803097,973.95
11814098,928.76
11825097,880.43
11836098,820.46
11847097,814.20
11858098,813.86
11870097,794.21
11881098,771.96
11892097,774.92
11903098,792.48
11914097,803.95
11925098,794.91
11937097,824.11
11948098,858.70
11959097,863.22
11970098,858.88
11981097,867.74
11992098,850.88
12004097,836.98
12015098,873.31
12026097,886.86
12037099,912.42
12048097,921.98
12059098,930.84
12071097,956.22
12082099,1039.48
12093097,1065.56
12104098,1075.12
12115097,1150.56
12126098,1183.41
12138097,1257.11
12149098,1393.92
12160097,1576.78
12171098,1727.66
12182097,1847.08
12193098,1941.12
12205097,2008.74
12216099,2066.10
12227097,2184.65
12238098,2387.51
12249097,2616.44
12260099,2887.09
12272097,3206.06
12283098,3589.00
12294097,3937.52
12305098,4276.49
12316097,4594.76
12327098,4861.06
12339097,5031.76
12350099,5160.22
12361097,5263.30
12372099,5343.09
12383097,5258.95
12394099,5071.92
12406097,4902.96
12417099,4682.37
12428097,4441.10
12439098,4215.82
12450097,3945.87
12461098,3680.09
12473097,3377.63
12484099,3135.66
12495097,2915.94
12506098,2705.79
12517097,2545.34
12528098,2396.38
12540097,2238.37
12551098,2038.81
12562097,1912.09
12573099,1808.67
12584097,1715.50
12595099,1663.52
12607097,1605.29
12618098,1592.25
12629097,1607.20
12640098,1587.21
12651097,1574.52
12662098,1582.87
12674097,1563.75
12685099,1546.88
12696097,1504.47
12707098,1468.31
12718097,1442.41
12729098,1411.82
12741097,1428.16
12752098,1390.44
12763097,1329.95
12774099,1301.96
12785097,1295.18
12796098,1282.67
12808097,1305.79
12819099,1355.33
12830097,1395.48
12841098,1398.78
12852097,1445.20
12863098,1499.43
12875097,1556.62
12886098,1588.60
12897097,1634.49
12908099,1663.70
12919097,1722.45
12930098,1785.37
12942097,1816.14
12953099,1863.42
12964097,1931.56
12975098,2003.87
12986097,2037.60
12997098,2083.66
13009097,2123.82
13020098,2151.28
13031097,2159.10
13042099,2186.39
13053097,2248.45
13064098,2293.64
13076097,2305.29
13087099,2291.38
13098097,2325.63
