Time(us),Time_Diff,Reading
1256166,1256166,-25.20
1259087,2921,4.35
1270087,11000,7.13
1281087,11000,0.35
1292087,11000,-25.20
1304087,12000,5.04
1315087,11000,28.51
1326087,11000,10.43
1337087,11000,-3.48
1348087,11000,9.73
1359087,11000,-36.50
1370087,11000,-17.90
1382087,12000,46.76
1393087,11000,33.72
1404087,11000,-15.30
1415087,11000,-13.38
1426087,11000,-18.25
1437087,11000,-11.65
1449087,12000,-8.69
1460087,11000,23.29
1471087,11000,42.76
1482087,11000,29.55
1493087,11000,-9.91
1504087,11000,-16.69
1516087,12000,-19.47
1527087,11000,-16.69
1538087,11000,-15.82
1549087,11000,-11.99
1560087,11000,11.12
1571087,11000,19.99
1583087,12000,27.81
1594087,11000,-13.56
1605087,11000,-20.51
1616087,11000,-9.39
1627087,11000,-3.82
1638087,11000,18.60
1650087,12000,-3.48
1661087,11000,7.65
1672087,11000,18.95
1683087,11000,16.51
1694087,11000,5.74
1705087,11000,13.73
1716087,11000,24.16
1728087,12000,31.46
1739087,11000,35.81
1750087,11000,12.69
1761087,11000,4.35
1772087,11000,31.98
1783087,11000,31.11
1795087,12000,15.64
1806087,11000,17.73
1817087,11000,-2.09
1828087,11000,-2.43
1839087,11000,32.16
1850087,11000,43.28
1862087,12000,27.29
1873087,11000,15.47
1884087,11000,16.17
1895087,11000,29.03
1906087,11000,34.42
1917087,11000,15.47
1929087,12000,6.26
1940087,11000,-7.13
1951087,11000,7.13
1962087,11000,41.37
1973087,11000,22.25
1984087,11000,-1.22
1996087,12000,4.69
2007087,11000,-20.16
2018087,11000,-28.33
2029087,11000,10.60
2040087,11000,40.50
2051087,11000,8.17
2062087,11000,2.26
2074087,12000,8.34
2085087,11000,1.04
2096087,11000,15.64
2107087,11000,40.15
2118087,11000,62.93
2129087,11000,48.67
2141087,12000,21.03
2152087,11000,19.82
2163087,11000,-1.56
2174087,11000,-26.77
2185087,11000,-6.78
2196087,11000,23.29
2208087,12000,29.20
2219087,11000,17.21
2230087,11000,-1.22
2241087,11000,-8.69
2252087,11000,11.99
2263087,11000,-7.47
2275087,12000,13.38
2286087,11000,26.77
2297087,11000,24.68
2308087,11000,4.52
2319087,11000,30.94
2330087,11000,11.99
2342087,12000,8.00
2353087,11000,28.68
2364087,11000,49.02
2375087,11000,51.80
2386087,11000,15.82
2397087,11000,38.24
2408087,11000,55.45
2420087,12000,14.08
2431087,11000,-3.30
2442087,11000,27.12
2453087,11000,16.17
2464087,11000,22.25
2475087,11000,-18.43
2487087,12000,-29.03
2498087,11000,1.04
2509087,11000,26.25
2520087,11000,17.21
2531087,11000,6.78
2542087,11000,-2.96
2554087,12000,10.95
2565087,11000,-4.52
2576087,11000,-15.99
2587087,11000,8.34
2598087,11000,13.56
2609087,11000,8.00
2621087,12000,4.69
2632087,11000,-0.52
2643087,11000,15.30
2654087,11000,10.78
2665087,11000,2.96
2676087,11000,3.48
2688087,12000,-1.04
2699087,11000,15.64
2710087,11000,13.73
2721087,11000,-1.56
2732087,11000,21.38
2743087,11000,19.82
2754087,11000,-1.74
2766087,12000,-14.95
2777087,11000,-5.04
2788087,11000,-7.47
2799087,11000,-10.26
2810087,11000,-4.87
2821087,11000,-8.00
2833087,12000,5.21
2844087,11000,9.91
2855087,11000,7.30
2866087,11000,33.72
2877087,11000,63.45
2888087,11000,29.20
2900087,12000,10.43
2911087,11000,-0.87
2922087,11000,1.74
2933087,11000,-15.64
2944087,11000,-34.24
2955087,11000,-21.55
2967087,12000,-25.38
2978087,11000,-33.03
2989087,11000,-51.11
3000087,11000,-37.20
3011087,11000,-31.11
3022087,11000,-41.20
3034087,12000,-16.17
3045087,11000,-9.21
3056087,11000,12.17
3067087,11000,42.59
3078087,11000,-2.78
3089087,11000,-28.16
3100087,11000,12.69
3112087,12000,38.42
3123087,11000,41.54
3134087,11000,21.73
3145087,11000,13.38
3156087,11000,-1.74
3167087,11000,-18.77
3179087,12000,-27.29
3190087,11000,-10.60
3201087,11000,-11.47
3212087,11000,-33.03
3223087,11000,-15.99
3234087,11000,20.51
3246087,12000,1.74
3257087,11000,-13.21
3268087,11000,-25.55
3279087,11000,-13.38
3290087,11000,2.09
3301087,11000,8.34
3313087,12000,17.38
3324087,11000,18.43
3335087,11000,8.34
3346087,11000,40.50
3357087,11000,13.91
3368087,11000,6.26
3380087,12000,-14.25
3391087,11000,30.07
3402087,11000,43.63
3413087,11000,46.76
3424087,11000,41.20
3435087,11000,20.69
3446087,11000,12.86
3458087,12000,35.29
3469087,11000,49.37
3480087,11000,47.45
3491087,11000,46.76
3502087,11000,25.90
3513087,11000,4.69
3525087,12000,14.43
3536087,11000,19.82
3547087,11000,6.95
3558087,11000,-0.70
3569087,11000,-15.30
3580087,11000,-2.26
3592087,12000,14.08
3603087,11000,10.43
3614087,11000,29.72
3625087,11000,18.43
3636087,11000,-30.77
3647087,11000,-15.82
3659087,12000,0.35
3670087,11000,-1.74
3681087,11000,10.43
3692087,11000,22.25
3703087,11000,36.85
3714087,11000,19.47
3726087,12000,10.95
3737087,11000,6.43
3748087,11000,-2.96
3759087,11000,-14.78
3770087,11000,-12.86
3781087,11000,-6.08
3792087,11000,3.65
3804087,12000,6.78
3815087,11000,19.47
3826087,11000,-5.91
3837087,11000,-13.38
3848087,11000,-14.95
3859087,11000,-15.82
3871087,12000,-28.51
3882087,11000,-23.64
3893087,11000,-1.04
3904087,11000,17.73
3915087,11000,8.17
3926087,11000,24.86
3938087,12000,48.85
3949087,11000,52.84
3960087,11000,35.98
3971087,11000,-4.52
3982087,11000,-1.91
3993087,11000,11.65
