system_time,device_timestamp,device,command,force,qw,qx,qy,qz,roll,pitch,yaw,analog
2025-10-31 20:29:29.212,89970,CrutchHMI-BT-7036,S,10519.00,997.0000,-16.0000,67.0000,14.0000,-107.54,90.00,109.98,2048
2025-10-31 20:29:29.308,90020,CrutchHMI-BT-7036,S,21209.00,997.0000,-17.0000,72.0000,14.0000,-108.95,90.00,112.90,2048
2025-10-31 20:29:29.308,91463,CrutchHMI-BT-74d3,S,94752.00,922.0000,-43.0000,322.0000,209.0000,165.32,90.00,129.49,2048
2025-10-31 20:29:29.308,91514,CrutchHMI-BT-74d3,S,94678.00,918.0000,-47.0000,326.0000,217.0000,165.73,90.00,129.83,2048
2025-10-31 20:29:29.319,90070,CrutchHMI-BT-7036,S,23175.00,996.0000,-16.0000,78.0000,14.0000,-113.13,90.00,116.32,2048
2025-10-31 20:29:29.350,91564,CrutchHMI-BT-74d3,S,92287.00,916.0000,-47.0000,328.0000,221.0000,164.99,90.00,129.91,2048
2025-10-31 20:29:29.378,90120,CrutchHMI-BT-7036,S,37884.00,996.0000,-14.0000,84.0000,14.0000,-119.59,90.00,119.59,2048
2025-10-31 20:29:29.415,91615,CrutchHMI-BT-74d3,S,97530.00,915.0000,-47.0000,331.0000,225.0000,164.27,90.00,130.09,2048
2025-10-31 20:29:29.438,90170,CrutchHMI-BT-7036,S,37356.00,995.0000,-11.0000,89.0000,14.0000,-129.66,90.00,122.08,2048
2025-10-31 20:29:29.454,91665,CrutchHMI-BT-74d3,S,97530.00,911.0000,-47.0000,335.0000,231.0000,163.19,90.00,130.38,2048
2025-10-31 20:29:29.491,90221,CrutchHMI-BT-7036,S,40400.00,995.0000,-11.0000,94.0000,14.0000,-132.93,90.00,125.00,2048
2025-10-31 20:29:29.504,91715,CrutchHMI-BT-74d3,S,105313.00,910.0000,-45.0000,338.0000,233.0000,161.99,90.00,130.57,2048
2025-10-31 20:29:29.515,90279,CrutchHMI-BT-7036,S,47121.00,995.0000,-12.0000,97.0000,14.0000,-132.07,90.00,126.96,2048
2025-10-31 20:29:29.550,91765,CrutchHMI-BT-74d3,S,109023.00,909.0000,-42.0000,340.0000,235.0000,160.43,90.00,130.60,2048
2025-10-31 20:29:29.573,90329,CrutchHMI-BT-7036,S,51553.00,994.0000,-13.0000,101.0000,14.0000,-132.02,90.00,129.52,2048
2025-10-31 20:29:29.615,91815,CrutchHMI-BT-74d3,S,113103.00,907.0000,-40.0000,343.0000,237.0000,159.32,90.00,130.82,2048
2025-10-31 20:29:29.626,90379,CrutchHMI-BT-7036,S,47371.00,994.0000,-14.0000,105.0000,15.0000,-132.28,90.00,129.93,2048
2025-10-31 20:29:29.662,91865,CrutchHMI-BT-74d3,S,116371.00,905.0000,-43.0000,345.0000,242.0000,159.76,90.00,131.02,2048
2025-10-31 20:29:29.674,90429,CrutchHMI-BT-7036,S,58866.00,993.0000,-16.0000,109.0000,15.0000,-130.41,90.00,132.63,2048
2025-10-31 20:29:29.721,91916,CrutchHMI-BT-74d3,S,-30518654.00,903.0000,-44.0000,347.0000,246.0000,159.55,90.00,131.17,2048
2025-10-31 20:29:29.742,90479,CrutchHMI-BT-7036,S,60251.00,993.0000,-17.0000,113.0000,15.0000,-130.69,90.00,135.04,2048
2025-10-31 20:29:29.783,91966,CrutchHMI-BT-74d3,S,-30518654.00,901.0000,-39.0000,351.0000,248.0000,157.40,90.00,131.37,2048
2025-10-31 20:29:29.794,90530,CrutchHMI-BT-7036,S,58472.00,992.0000,-18.0000,117.0000,16.0000,-131.24,90.00,135.37,2048
2025-10-31 20:29:29.804,92016,CrutchHMI-BT-74d3,S,116982.00,900.0000,-36.0000,354.0000,248.0000,156.37,90.00,131.60,2048
2025-10-31 20:29:29.824,90581,CrutchHMI-BT-7036,S,64200.00,992.0000,-19.0000,121.0000,17.0000,-131.78,90.00,135.71,2048
2025-10-31 20:29:29.855,92066,CrutchHMI-BT-74d3,S,-30517340.00,899.0000,-33.0000,357.0000,248.0000,155.39,90.00,131.82,2048
2025-10-31 20:29:29.876,90639,CrutchHMI-BT-7036,S,56947.00,991.0000,-20.0000,124.0000,18.0000,-131.89,90.00,135.63,2048
2025-10-31 20:29:29.917,92117,CrutchHMI-BT-74d3,S,104086.00,898.0000,-31.0000,359.0000,249.0000,154.64,90.00,131.94,2048
2025-10-31 20:29:29.927,90689,CrutchHMI-BT-7036,S,29315.00,991.0000,-21.0000,128.0000,19.0000,-132.47,90.00,136.05,2048
2025-10-31 20:29:29.968,92167,CrutchHMI-BT-74d3,S,81659.00,897.0000,-23.0000,364.0000,247.0000,152.49,90.00,132.23,2048
2025-10-31 20:29:29.989,90739,CrutchHMI-BT-7036,S,-14111.00,990.0000,-24.0000,131.0000,22.0000,-130.35,90.00,133.43,2048
2025-10-31 20:29:30.009,92217,CrutchHMI-BT-74d3,S,46044.00,896.0000,-12.0000,369.0000,243.0000,149.93,90.00,132.46,2048
2025-10-31 20:29:30.040,90789,CrutchHMI-BT-7036,S,-52151.00,989.0000,-24.0000,136.0000,24.0000,-132.97,90.00,132.97,2048
2025-10-31 20:29:30.061,92267,CrutchHMI-BT-74d3,S,31426.00,896.0000,-4.0000,373.0000,239.0000,148.41,90.00,132.70,2048
2025-10-31 20:29:30.123,92318,CrutchHMI-BT-74d3,S,30122.00,894.0000,1.0000,380.0000,236.0000,147.90,90.00,133.43,2048
2025-10-31 20:29:30.133,90839,CrutchHMI-BT-7036,S,-65766.00,989.0000,-21.0000,142.0000,26.0000,-140.35,90.00,132.51,2048
2025-10-31 20:29:30.174,90889,CrutchHMI-BT-7036,S,-77837.00,988.0000,-19.0000,147.0000,28.0000,-146.29,90.00,132.00,2048
2025-10-31 20:29:30.174,92368,CrutchHMI-BT-74d3,S,31001.00,893.0000,1.0000,382.0000,235.0000,148.15,90.00,133.73,2048
2025-10-31 20:29:30.195,90940,CrutchHMI-BT-7036,S,-88635.00,987.0000,-21.0000,152.0000,30.0000,-145.52,90.00,132.26,2048
2025-10-31 20:29:30.205,92418,CrutchHMI-BT-74d3,S,30092.00,892.0000,-1.0000,384.0000,236.0000,148.68,90.00,134.03,2048
2025-10-31 20:29:30.246,90998,CrutchHMI-BT-7036,S,-80385.00,986.0000,-21.0000,156.0000,30.0000,-147.10,90.00,133.81,2048
2025-10-31 20:29:30.276,92468,CrutchHMI-BT-74d3,S,29848.00,891.0000,-4.0000,385.0000,236.0000,149.51,90.00,134.33,2048
2025-10-31 20:29:30.298,91048,CrutchHMI-BT-7036,S,-80951.00,986.0000,-25.0000,161.0000,29.0000,-143.03,90.00,137.45,2048
2025-10-31 20:29:30.307,92518,CrutchHMI-BT-74d3,S,29230.00,890.0000,-10.0000,387.0000,239.0000,150.85,90.00,134.73,2048
2025-10-31 20:29:30.349,91098,CrutchHMI-BT-7036,S,-79618.00,985.0000,-29.0000,164.0000,27.0000,-138.97,90.00,141.67,2048
2025-10-31 20:29:30.369,92568,CrutchHMI-BT-74d3,S,28624.00,889.0000,-16.0000,386.0000,242.0000,152.05,90.00,134.81,2048
2025-10-31 20:29:30.390,91148,CrutchHMI-BT-7036,S,-78073.00,984.0000,-31.0000,167.0000,25.0000,-137.62,90.00,145.74,2048
2025-10-31 20:29:30.420,92618,CrutchHMI-BT-74d3,S,28624.00,888.0000,-22.0000,386.0000,245.0000,153.34,90.00,134.99,2048
2025-10-31 20:29:30.442,91198,CrutchHMI-BT-7036,S,-79895.00,984.0000,-32.0000,171.0000,22.0000,-137.51,90.00,151.45,2048
2025-10-31 20:29:30.462,92668,CrutchHMI-BT-74d3,S,33455.00,887.0000,-25.0000,387.0000,248.0000,153.86,90.00,135.13,2048
2025-10-31 20:29:30.484,91248,CrutchHMI-BT-7036,S,-31479.00,983.0000,-33.0000,174.0000,25.0000,-138.15,90.00,148.64,2048
2025-10-31 20:29:30.513,92718,CrutchHMI-BT-74d3,S,31995.00,886.0000,-27.0000,388.0000,251.0000,154.10,90.00,135.22,2048
2025-10-31 20:29:30.545,91299,CrutchHMI-BT-7036,S,-77613.00,982.0000,-32.0000,179.0000,27.0000,-141.19,90.00,147.61,2048
2025-10-31 20:29:30.564,92768,CrutchHMI-BT-74d3,S,38269.00,884.0000,-28.0000,389.0000,254.0000,154.04,90.00,135.29,2048
2025-10-31 20:29:30.596,91358,CrutchHMI-BT-7036,S,-24365.00,982.0000,-30.0000,183.0000,28.0000,-144.71,90.00,147.30,2048
2025-10-31 20:29:30.615,92818,CrutchHMI-BT-74d3,S,45796.00,882.0000,-24.0000,393.0000,256.0000,152.87,90.00,135.48,2048
2025-10-31 20:29:30.657,91408,CrutchHMI-BT-7036,S,3277.00,981.0000,-27.0000,186.0000,29.0000,-149.16,90.00,146.53,2048
2025-10-31 20:29:30.677,92868,CrutchHMI-BT-74d3,S,73815.00,881.0000,-23.0000,395.0000,257.0000,152.57,90.00,135.62,2048
2025-10-31 20:29:30.709,91458,CrutchHMI-BT-7036,S,32364.00,980.0000,-25.0000,190.0000,30.0000,-152.89,90.00,146.33,2048
2025-10-31 20:29:30.728,92939,CrutchHMI-BT-74d3,S,101080.00,878.0000,-24.0000,398.0000,260.0000,152.60,90.00,135.94,2048
2025-10-31 20:29:30.750,91508,CrutchHMI-BT-7036,S,67489.00,980.0000,-24.0000,193.0000,32.0000,-155.37,90.00,145.07,2048
2025-10-31 20:29:30.799,92993,CrutchHMI-BT-74d3,S,119318.00,877.0000,-26.0000,401.0000,262.0000,153.00,90.00,136.29,2048
2025-10-31 20:29:30.801,91558,CrutchHMI-BT-7036,S,89002.00,979.0000,-24.0000,197.0000,34.0000,-156.90,90.00,144.45,2048
2025-10-31 20:29:30.830,93043,CrutchHMI-BT-74d3,S,119318.00,873.0000,-35.0000,402.0000,270.0000,154.41,90.00,136.62,2048
2025-10-31 20:29:30.863,91608,CrutchHMI-BT-7036,S,112094.00,978.0000,-22.0000,201.0000,36.0000,-160.75,90.00,143.56,2048
2025-10-31 20:29:30.892,93093,CrutchHMI-BT-74d3,S,136319.00,871.0000,-38.0000,404.0000,273.0000,154.88,90.00,136.91,2048
2025-10-31 20:29:30.914,91659,CrutchHMI-BT-7036,S,114215.00,977.0000,-22.0000,205.0000,38.0000,-162.13,90.00,143.12,2048
2025-10-31 20:29:30.944,93143,CrutchHMI-BT-74d3,S,141918.00,869.0000,-42.0000,406.0000,276.0000,155.60,90.00,137.25,2048
2025-10-31 20:29:30.975,91717,CrutchHMI-BT-7036,S,153662.00,976.0000,-19.0000,209.0000,40.0000,-166.98,90.00,142.24,2048
2025-10-31 20:29:30.986,93193,CrutchHMI-BT-74d3,S,386946.00,868.0000,-44.0000,408.0000,277.0000,156.04,90.00,137.55,2048
2025-10-31 20:29:31.018,91767,CrutchHMI-BT-7036,S,170443.00,975.0000,-19.0000,212.0000,44.0000,-168.52,90.00,140.33,2048
2025-10-31 20:29:31.038,93243,CrutchHMI-BT-74d3,S,155506.00,866.0000,-46.0000,412.0000,276.0000,156.74,90.00,138.18,2048
2025-10-31 20:29:31.070,91817,CrutchHMI-BT-7036,S,176150.00,974.0000,-19.0000,216.0000,49.0000,-170.44,90.00,138.36,2048
2025-10-31 20:29:31.131,93294,CrutchHMI-BT-74d3,S,161978.00,865.0000,-47.0000,416.0000,274.0000,157.30,90.00,138.77,2048
