system_time,device_timestamp,device,command,force,qw,qx,qy,qz,roll,pitch,yaw,analog
2025-10-31 20:29:29.212,89970,CrutchHMI-BT-7036,S,10519.00,997.0000,-16.0000,67.0000,14.0000,-107.54,90.00,109.98,2048
2025-10-31 20:29:29.308,90020,CrutchHMI-BT-7036,S,21209.00,997.0000,-17.0000,72.0000,14.0000,-108.95,90.00,112.90,2048
2025-10-31 20:29:29.319,90070,CrutchHMI-BT-7036,S,23175.00,996.0000,-16.0000,78.0000,14.0000,-113.13,90.00,116.32,2048
2025-10-31 20:29:29.378,90120,CrutchHMI-BT-7036,S,37884.00,996.0000,-14.0000,84.0000,14.0000,-119.59,90.00,119.59,2048
2025-10-31 20:29:29.438,90170,CrutchHMI-BT-7036,S,37356.00,995.0000,-11.0000,89.0000,14.0000,-129.66,90.00,122.08,2048
2025-10-31 20:29:29.491,90221,CrutchHMI-BT-7036,S,40400.00,995.0000,-11.0000,94.0000,14.0000,-132.93,90.00,125.00,2048
2025-10-31 20:29:29.515,90279,CrutchHMI-BT-7036,S,47121.00,995.0000,-12.0000,97.0000,14.0000,-132.07,90.00,126.96,2048
2025-10-31 20:29:29.573,90329,CrutchHMI-BT-7036,S,51553.00,994.0000,-13.0000,101.0000,14.0000,-132.02,90.00,129.52,2048
2025-10-31 20:29:29.626,90379,CrutchHMI-BT-7036,S,47371.00,994.0000,-14.0000,105.0000,15.0000,-132.28,90.00,129.93,2048
2025-10-31 20:29:29.674,90429,CrutchHMI-BT-7036,S,58866.00,993.0000,-16.0000,109.0000,15.0000,-130.41,90.00,132.63,2048
2025-10-31 20:29:29.742,90479,CrutchHMI-BT-7036,S,60251.00,993.0000,-17.0000,113.0000,15.0000,-130.69,90.00,135.04,2048
2025-10-31 20:29:29.794,90530,CrutchHMI-BT-7036,S,58472.00,992.0000,-18.0000,117.0000,16.0000,-131.24,90.00,135.37,2048
2025-10-31 20:29:29.824,90581,CrutchHMI-BT-7036,S,64200.00,992.0000,-19.0000,121.0000,17.0000,-131.78,90.00,135.71,2048
2025-10-31 20:29:29.876,90639,CrutchHMI-BT-7036,S,56947.00,991.0000,-20.0000,124.0000,18.0000,-131.89,90.00,135.63,2048
2025-10-31 20:29:29.927,90689,CrutchHMI-BT-7036,S,29315.00,991.0000,-21.0000,128.0000,19.0000,-132.47,90.00,136.05,2048
2025-10-31 20:29:29.989,90739,CrutchHMI-BT-7036,S,-14111.00,990.0000,-24.0000,131.0000,22.0000,-130.35,90.00,133.43,2048
2025-10-31 20:29:30.040,90789,CrutchHMI-BT-7036,S,-52151.00,989.0000,-24.0000,136.0000,24.0000,-132.97,90.00,132.97,2048
2025-10-31 20:29:30.133,90839,CrutchHMI-BT-7036,S,-65766.00,989.0000,-21.0000,142.0000,26.0000,-140.35,90.00,132.51,2048
2025-10-31 20:29:30.174,90889,CrutchHMI-BT-7036,S,-77837.00,988.0000,-19.0000,147.0000,28.0000,-146.29,90.00,132.00,2048
2025-10-31 20:29:30.195,90940,CrutchHMI-BT-7036,S,-88635.00,987.0000,-21.0000,152.0000,30.0000,-145.52,90.00,132.26,2048
2025-10-31 20:29:30.246,90998,CrutchHMI-BT-7036,S,-80385.00,986.0000,-21.0000,156.0000,30.0000,-147.10,90.00,133.81,2048
2025-10-31 20:29:30.298,91048,CrutchHMI-BT-7036,S,-80951.00,986.0000,-25.0000,161.0000,29.0000,-143.03,90.00,137.45,2048
2025-10-31 20:29:30.349,91098,CrutchHMI-BT-7036,S,-79618.00,985.0000,-29.0000,164.0000,27.0000,-138.97,90.00,141.67,2048
2025-10-31 20:29:30.390,91148,CrutchHMI-BT-7036,S,-78073.00,984.0000,-31.0000,167.0000,25.0000,-137.62,90.00,145.74,2048
2025-10-31 20:29:30.442,91198,CrutchHMI-BT-7036,S,-79895.00,984.0000,-32.0000,171.0000,22.0000,-137.51,90.00,151.45,2048
2025-10-31 20:29:30.484,91248,CrutchHMI-BT-7036,S,-31479.00,983.0000,-33.0000,174.0000,25.0000,-138.15,90.00,148.64,2048
2025-10-31 20:29:30.545,91299,CrutchHMI-BT-7036,S,-77613.00,982.0000,-32.0000,179.0000,27.0000,-141.19,90.00,147.61,2048
2025-10-31 20:29:30.596,91358,CrutchHMI-BT-7036,S,-24365.00,982.0000,-30.0000,183.0000,28.0000,-144.71,90.00,147.30,2048
2025-10-31 20:29:30.657,91408,CrutchHMI-BT-7036,S,3277.00,981.0000,-27.0000,186.0000,29.0000,-149.16,90.00,146.53,2048
2025-10-31 20:29:30.709,91458,CrutchHMI-BT-7036,S,32364.00,980.0000,-25.0000,190.0000,30.0000,-152.89,90.00,146.33,2048
2025-10-31 20:29:30.750,91508,CrutchHMI-BT-7036,S,67489.00,980.0000,-24.0000,193.0000,32.0000,-155.37,90.00,145.07,2048
2025-10-31 20:29:30.801,91558,CrutchHMI-BT-7036,S,89002.00,979.0000,-24.0000,197.0000,34.0000,-156.90,90.00,144.45,2048
2025-10-31 20:29:30.863,91608,CrutchHMI-BT-7036,S,112094.00,978.0000,-22.0000,201.0000,36.0000,-160.75,90.00,143.56,2048
2025-10-31 20:29:30.914,91659,CrutchHMI-BT-7036,S,114215.00,977.0000,-22.0000,205.0000,38.0000,-162.13,90.00,143.12,2048
2025-10-31 20:29:30.975,91717,CrutchHMI-BT-7036,S,153662.00,976.0000,-19.0000,209.0000,40.0000,-166.98,90.00,142.24,2048
2025-10-31 20:29:31.018,91767,CrutchHMI-BT-7036,S,170443.00,975.0000,-19.0000,212.0000,44.0000,-168.52,90.00,140.33,2048
2025-10-31 20:29:31.070,91817,CrutchHMI-BT-7036,S,176150.00,974.0000,-19.0000,216.0000,49.0000,-170.44,90.00,138.36,2048
2025-10-31 20:29:31.132,91867,CrutchHMI-BT-7036,S,166004.00,974.0000,-19.0000,218.0000,54.0000,-171.99,90.00,136.15,2048
2025-10-31 20:29:31.163,91917,CrutchHMI-BT-7036,S,157279.00,973.0000,-19.0000,221.0000,59.0000,-173.68,90.00,134.52,2048
2025-10-31 20:29:31.214,91967,CrutchHMI-BT-7036,S,151983.00,972.0000,-21.0000,223.0000,65.0000,-173.27,90.00,132.69,2048
2025-10-31 20:29:31.276,92018,CrutchHMI-BT-7036,S,147533.00,971.0000,-24.0000,225.0000,71.0000,-171.85,90.00,131.22,2048
2025-10-31 20:29:31.318,92076,CrutchHMI-BT-7036,S,141074.00,970.0000,-24.0000,226.0000,75.0000,-173.01,90.00,130.10,2048
2025-10-31 20:29:31.370,92126,CrutchHMI-BT-7036,S,137748.00,970.0000,-28.0000,226.0000,81.0000,-170.31,90.00,128.58,2048
2025-10-31 20:29:31.432,92176,CrutchHMI-BT-7036,S,126503.00,969.0000,-31.0000,227.0000,86.0000,-168.67,90.00,127.68,2048
2025-10-31 20:29:31.473,92226,CrutchHMI-BT-7036,S,127740.00,968.0000,-36.0000,226.0000,91.0000,-164.75,90.00,126.59,2048
2025-10-31 20:29:31.525,92276,CrutchHMI-BT-7036,S,127964.00,968.0000,-39.0000,226.0000,94.0000,-162.57,90.00,126.09,2048
2025-10-31 20:29:31.577,92326,CrutchHMI-BT-7036,S,124782.00,968.0000,-41.0000,225.0000,94.0000,-160.48,90.00,126.02,2048
2025-10-31 20:29:31.618,92377,CrutchHMI-BT-7036,S,124137.00,969.0000,-41.0000,225.0000,92.0000,-160.01,90.00,126.48,2048
2025-10-31 20:29:31.689,92436,CrutchHMI-BT-7036,S,128524.00,969.0000,-39.0000,224.0000,88.0000,-160.72,90.00,127.12,2048
2025-10-31 20:29:31.721,92486,CrutchHMI-BT-7036,S,128092.00,970.0000,-37.0000,224.0000,82.0000,-161.23,90.00,128.61,2048
2025-10-31 20:29:31.783,92536,CrutchHMI-BT-7036,S,119976.00,970.0000,-34.0000,224.0000,75.0000,-162.50,90.00,130.59,2048
2025-10-31 20:29:31.824,92586,CrutchHMI-BT-7036,S,119171.00,971.0000,-32.0000,224.0000,68.0000,-162.81,90.00,132.95,2048
2025-10-31 20:29:31.885,92636,CrutchHMI-BT-7036,S,-4075214.00,971.0000,-31.0000,224.0000,60.0000,-161.95,90.00,136.34,2048
2025-10-31 20:29:31.936,92686,CrutchHMI-BT-7036,S,109460.00,971.0000,-32.0000,226.0000,54.0000,-160.09,90.00,140.06,2048
2025-10-31 20:29:31.997,92737,CrutchHMI-BT-7036,S,117018.00,971.0000,-32.0000,229.0000,49.0000,-159.63,90.00,143.72,2048
2025-10-31 20:29:32.050,92795,CrutchHMI-BT-7036,S,113207.00,970.0000,-33.0000,232.0000,46.0000,-158.76,90.00,146.54,2048
2025-10-31 20:29:32.162,92845,CrutchHMI-BT-7036,S,118004.00,969.0000,-32.0000,238.0000,42.0000,-159.98,90.00,150.47,2048
2025-10-31 20:29:32.162,92895,CrutchHMI-BT-7036,S,128859.00,968.0000,-31.0000,245.0000,39.0000,-161.46,90.00,153.90,2048
2025-10-31 20:29:32.224,92945,CrutchHMI-BT-7036,S,134237.00,966.0000,-32.0000,251.0000,38.0000,-161.54,90.00,156.01,2048
2025-10-31 20:29:32.245,92995,CrutchHMI-BT-7036,S,147773.00,964.0000,-32.0000,259.0000,38.0000,-162.86,90.00,157.53,2048
2025-10-31 20:29:32.286,93045,CrutchHMI-BT-7036,S,160077.00,962.0000,-32.0000,267.0000,38.0000,-164.07,90.00,158.94,2048
2025-10-31 20:29:32.347,93096,CrutchHMI-BT-7036,S,179012.00,960.0000,-31.0000,275.0000,37.0000,-165.66,90.00,160.68,2048
2025-10-31 20:29:32.408,93154,CrutchHMI-BT-7036,S,213344.00,958.0000,-31.0000,282.0000,38.0000,-166.73,90.00,161.14,2048
2025-10-31 20:29:32.461,93205,CrutchHMI-BT-7036,S,216045.00,955.0000,-33.0000,289.0000,39.0000,-166.54,90.00,161.95,2048
2025-10-31 20:29:32.492,93255,CrutchHMI-BT-7036,S,209970.00,953.0000,-35.0000,296.0000,41.0000,-166.57,90.00,162.17,2048
2025-10-31 20:29:32.553,93305,CrutchHMI-BT-7036,S,214035.00,951.0000,-36.0000,303.0000,44.0000,-167.35,90.00,161.74,2048
2025-10-31 20:29:32.595,93355,CrutchHMI-BT-7036,S,209916.00,948.0000,-37.0000,309.0000,48.0000,-168.19,90.00,160.79,2048
2025-10-31 20:29:32.647,93405,CrutchHMI-BT-7036,S,219946.00,946.0000,-38.0000,315.0000,54.0000,-169.35,90.00,159.05,2048
2025-10-31 20:29:32.708,93456,CrutchHMI-BT-7036,S,136000.00,944.0000,-39.0000,320.0000,59.0000,-170.21,90.00,157.80,2048
2025-10-31 20:29:32.759,93514,CrutchHMI-BT-7036,S,150698.00,943.0000,-38.0000,323.0000,64.0000,-171.84,90.00,156.09,2048
2025-10-31 20:29:32.801,93564,CrutchHMI-BT-7036,S,250790.00,941.0000,-37.0000,326.0000,70.0000,-173.64,90.00,154.17,2048
2025-10-31 20:29:32.864,93614,CrutchHMI-BT-7036,S,247865.00,940.0000,-35.0000,328.0000,76.0000,-175.81,90.00,152.12,2048
2025-10-31 20:29:32.916,93664,CrutchHMI-BT-7036,S,240900.00,940.0000,-33.0000,328.0000,81.0000,-177.65,90.00,150.22,2048
2025-10-31 20:29:32.967,93714,CrutchHMI-BT-7036,S,228312.00,939.0000,-31.0000,328.0000,85.0000,-179.35,90.00,148.76,2048
