system_time,device_timestamp,device,command,force,qw,qx,qy,qz,roll,pitch,yaw,analog
2025-11-02 15:19:53.979,88818,CrutchHMI-BT-74d3,S,370467.00,997.0000,0.0000,45.0000,44.0000,135.64,90.00,95.16,2048
2025-11-02 15:19:54.002,88868,CrutchHMI-BT-74d3,S,271521.00,997.0000,0.0000,48.0000,43.0000,138.14,90.00,95.53,2048
2025-11-02 15:19:54.054,88919,CrutchHMI-BT-74d3,S,109968.00,997.0000,1.0000,52.0000,40.0000,131.31,90.00,96.15,2048
2025-11-02 15:19:54.107,88973,CrutchHMI-BT-74d3,S,14762.00,997.0000,-2.0000,55.0000,38.0000,178.18,90.00,96.75,2048
2025-11-02 15:19:54.181,89024,CrutchHMI-BT-74d3,S,14346.00,997.0000,-10.0000,56.0000,36.0000,-112.14,90.00,97.15,2048
2025-11-02 15:19:54.449,89074,CrutchHMI-BT-74d3,S,17357.00,997.0000,-11.0000,54.0000,36.0000,-108.60,90.00,96.80,2048
2025-11-02 15:19:54.449,89124,CrutchHMI-BT-74d3,S,17357.00,997.0000,-8.0000,55.0000,37.0000,-117.47,90.00,96.87,2048
2025-11-02 15:19:54.449,89174,CrutchHMI-BT-74d3,S,8970.00,997.0000,-5.0000,60.0000,38.0000,-143.27,90.00,97.64,2048
2025-11-02 15:19:54.449,89224,CrutchHMI-BT-74d3,S,8866.00,996.0000,-6.0000,66.0000,38.0000,-141.70,90.00,98.80,2048
2025-11-02 15:19:54.449,89274,CrutchHMI-BT-74d3,S,15268.00,996.0000,-11.0000,75.0000,38.0000,-125.33,90.00,100.81,2048
2025-11-02 15:19:54.470,89324,CrutchHMI-BT-74d3,S,24218.00,995.0000,-13.0000,85.0000,40.0000,-127.79,90.00,102.85,2048
2025-11-02 15:19:54.512,89374,CrutchHMI-BT-74d3,S,51262.00,995.0000,-13.0000,87.0000,42.0000,-129.82,90.00,102.93,2048
2025-11-02 15:19:54.574,89424,CrutchHMI-BT-74d3,S,51262.00,994.0000,-14.0000,92.0000,46.0000,-131.80,90.00,103.39,2048
2025-11-02 15:19:54.608,89474,CrutchHMI-BT-74d3,S,261276.00,993.0000,-22.0000,95.0000,49.0000,-118.95,90.00,103.79,2048
2025-11-02 15:19:54.682,89525,CrutchHMI-BT-74d3,S,333864.00,993.0000,-29.0000,100.0000,52.0000,-114.67,90.00,104.61,2048
2025-11-02 15:19:54.719,89575,CrutchHMI-BT-74d3,S,381495.00,992.0000,-28.0000,104.0000,55.0000,-117.74,90.00,105.00,2048
2025-11-02 15:19:54.779,89625,CrutchHMI-BT-74d3,S,442004.00,991.0000,-25.0000,110.0000,57.0000,-124.51,90.00,105.94,2048
2025-11-02 15:19:54.824,89675,CrutchHMI-BT-74d3,S,509781.00,991.0000,-26.0000,113.0000,59.0000,-125.14,90.00,106.31,2048
2025-11-02 15:19:54.895,89744,CrutchHMI-BT-74d3,S,575726.00,990.0000,-33.0000,118.0000,62.0000,-120.63,90.00,107.18,2048
2025-11-02 15:19:54.965,89798,CrutchHMI-BT-74d3,S,598930.00,989.0000,-36.0000,121.0000,65.0000,-119.88,90.00,107.47,2048
2025-11-02 15:19:54.992,89852,CrutchHMI-BT-74d3,S,625131.00,989.0000,-35.0000,123.0000,67.0000,-121.80,90.00,107.57,2048
2025-11-02 15:19:55.047,89903,CrutchHMI-BT-74d3,S,653088.00,988.0000,-37.0000,125.0000,70.0000,-121.43,90.00,107.64,2048
2025-11-02 15:19:55.095,89953,CrutchHMI-BT-74d3,S,690565.00,988.0000,-39.0000,126.0000,72.0000,-120.56,90.00,107.64,2048
2025-11-02 15:19:55.147,90003,CrutchHMI-BT-74d3,S,690565.00,988.0000,-42.0000,127.0000,75.0000,-119.23,90.00,107.55,2048
2025-11-02 15:19:55.192,90053,CrutchHMI-BT-74d3,S,732087.00,987.0000,-43.0000,128.0000,77.0000,-119.23,90.00,107.56,2048
2025-11-02 15:19:55.245,90103,CrutchHMI-BT-74d3,S,741593.00,987.0000,-44.0000,129.0000,78.0000,-119.11,90.00,107.68,2048
2025-11-02 15:19:55.305,90154,CrutchHMI-BT-74d3,S,760476.00,986.0000,-46.0000,130.0000,80.0000,-118.55,90.00,107.72,2048
2025-11-02 15:19:55.352,90204,CrutchHMI-BT-74d3,S,790362.00,986.0000,-51.0000,131.0000,82.0000,-116.55,90.00,107.85,2048
2025-11-02 15:19:55.405,90254,CrutchHMI-BT-74d3,S,809946.00,986.0000,-54.0000,132.0000,83.0000,-115.69,90.00,108.03,2048
2025-11-02 15:19:55.445,90305,CrutchHMI-BT-74d3,S,809946.00,985.0000,-55.0000,136.0000,84.0000,-116.72,90.00,108.75,2048
2025-11-02 15:19:55.503,90355,CrutchHMI-BT-74d3,S,836319.00,985.0000,-54.0000,138.0000,84.0000,-117.83,90.00,109.12,2048
2025-11-02 15:19:55.559,90405,CrutchHMI-BT-74d3,S,853746.00,984.0000,-54.0000,141.0000,85.0000,-118.99,90.00,109.62,2048
2025-11-02 15:19:55.591,90455,CrutchHMI-BT-74d3,S,871000.00,984.0000,-55.0000,143.0000,86.0000,-119.30,90.00,109.94,2048
2025-11-02 15:19:55.643,90505,CrutchHMI-BT-74d3,S,877434.00,983.0000,-56.0000,146.0000,87.0000,-120.00,90.00,110.48,2048
2025-11-02 15:19:55.695,90556,CrutchHMI-BT-74d3,S,889314.00,983.0000,-57.0000,148.0000,88.0000,-120.32,90.00,110.80,2048
2025-11-02 15:19:55.779,90623,CrutchHMI-BT-74d3,S,932195.00,982.0000,-58.0000,150.0000,89.0000,-120.67,90.00,111.13,2048
2025-11-02 15:19:55.831,90677,CrutchHMI-BT-74d3,S,958910.00,982.0000,-58.0000,152.0000,90.0000,-121.45,90.00,111.41,2048
2025-11-02 15:19:55.883,90728,CrutchHMI-BT-74d3,S,964016.00,981.0000,-59.0000,154.0000,91.0000,-121.80,90.00,111.75,2048
2025-11-02 15:19:55.926,90778,CrutchHMI-BT-74d3,S,984625.00,981.0000,-60.0000,156.0000,91.0000,-122.02,90.00,112.20,2048
2025-11-02 15:19:55.978,90829,CrutchHMI-BT-74d3,S,997495.00,981.0000,-60.0000,158.0000,92.0000,-122.80,90.00,112.48,2048
2025-11-02 15:19:56.031,90883,CrutchHMI-BT-74d3,S,1014119.00,980.0000,-60.0000,161.0000,92.0000,-123.87,90.00,113.13,2048
2025-11-02 15:19:56.093,90934,CrutchHMI-BT-74d3,S,1045646.00,979.0000,-61.0000,164.0000,94.0000,-124.65,90.00,113.54,2048
2025-11-02 15:19:56.145,90984,CrutchHMI-BT-74d3,S,1060199.00,979.0000,-62.0000,166.0000,95.0000,-124.95,90.00,113.86,2048
2025-11-02 15:19:56.176,91034,CrutchHMI-BT-74d3,S,1060199.00,978.0000,-64.0000,169.0000,96.0000,-125.16,90.00,114.45,2048
2025-11-02 15:19:56.230,91084,CrutchHMI-BT-74d3,S,1060392.00,978.0000,-65.0000,170.0000,97.0000,-125.13,90.00,114.56,2048
2025-11-02 15:19:56.272,91134,CrutchHMI-BT-74d3,S,1051590.00,977.0000,-66.0000,172.0000,99.0000,-125.57,90.00,114.77,2048
2025-11-02 15:19:56.324,91184,CrutchHMI-BT-74d3,S,1056558.00,977.0000,-67.0000,174.0000,100.0000,-125.88,90.00,115.08,2048
2025-11-02 15:19:56.410,91234,CrutchHMI-BT-74d3,S,1049127.00,976.0000,-68.0000,176.0000,102.0000,-126.33,90.00,115.29,2048
2025-11-02 15:19:56.431,91284,CrutchHMI-BT-74d3,S,1046214.00,976.0000,-69.0000,178.0000,103.0000,-126.63,90.00,115.61,2048
2025-11-02 15:19:56.484,91334,CrutchHMI-BT-74d3,S,1046214.00,975.0000,-71.0000,181.0000,105.0000,-126.97,90.00,116.06,2048
